x,y
1.013962564062256178e+01,1.739235594101856819e+01
7.625721304715184168e+00,2.218927779649887810e+01
1.916956415447934248e+01,2.593437426057755957e+01
1.356205378667143613e+01,2.626004498334840775e+01
2.278452598903250603e+01,4.050461494508451921e+01
7.461280615730885302e-01,1.115548735359452204e+00
3.294652904171295749e+00,6.580154922701080267e-01
2.674432818588109484e+01,6.470999486529220412e+00
2.477381177648346267e+01,3.058512826747190161e+01
5.142736724050418040e+00,2.966578440802597250e+00
3.103246474694601531e+01,8.431699375270898855e+00
8.097145354454662325e+00,2.655678830011638425e+01
3.207541136892537281e+01,1.077867017601899846e+01
3.785957613440615432e+01,1.243968987035715346e+00
1.706905179424192731e+00,3.407455227167120171e+01
1.756812458837865520e+01,2.396064640473611007e+01
2.791775208042633949e+01,3.958891497739633003e+00
7.387100376602791840e+00,7.583517533646015885e+00
1.428338058468633953e+01,3.123041791534928535e+01
1.038592994788681700e+01,2.198940358031151732e+01
3.448462022927152759e+01,2.296210826922803960e+01
3.018545472805783803e+01,2.091303059162282096e+01
3.358187284257560634e+01,8.464944578879745052e+00
2.543362340677989764e+01,4.318585330653375465e+00
3.109926073856767559e+01,3.501685499975765481e+01
9.710545784625139731e+00,2.919688494714941740e+01
3.091694029432258972e+01,3.979255020178658242e+01
3.738905869834778173e+01,1.779963776222882998e+01
1.723712128614846151e+01,3.600093052090495860e+01
2.928509901529740134e+01,3.276011617198940939e+01
1.165743498911960963e+01,4.007068441209694631e-01
1.180307477988960940e+01,1.966240439620888836e+01
2.062163847484838186e+01,2.827504972981435927e+01
2.174330321932377785e+01,2.602594265646982663e+01
1.501360253055340976e+01,1.264588066091266683e+01
2.573157540703573787e+01,1.904356572295858285e+01
4.596446369390841724e+00,2.252246813603287023e+01
5.653305901338816497e+00,3.684905551981465521e+01
9.565229662339078232e+00,1.244325498591549994e+01
1.737850980690900116e+01,1.945258245036978195e+01
3.754161121447022254e+01,2.737859007783076137e+01
1.438878986883364952e+01,1.943975561127619400e+01
2.623245763431643951e+01,2.306348944871136197e+01
3.815684634628581051e+01,1.502447215705936223e+01
2.531975572150287590e+01,4.015759304963965803e+01
6.652641442145371009e+00,5.159848160184206556e+00
1.747545010495178985e+01,1.185675892252522523e+01
2.251471980696341646e+01,4.390625445357326129e+00
2.411304431276496629e+01,6.811035468845175522e+00
4.045218155358045209e+01,3.945130690713654076e+01
2.215991855428352530e-01,2.034445221465569631e+01
9.075449531522954416e+00,2.423746698191558124e+01
7.217034789679563467e+00,2.941007206088569959e+01
3.105256893613567115e+01,1.342710060786165904e+01
1.321711606756939084e+01,2.639930988408529799e+00
3.793057042257552069e+01,6.131212514540403724e+00
3.664343140175748204e+01,3.539808813721254221e+00
4.184623203889342724e-02,3.692200216938246626e+01
1.211239068624999327e+01,5.094366642594930106e+00
3.400516513637003690e+00,2.923944085697221595e+01
1.621668708692695660e+01,2.178819245943298810e+01
7.211907513250607416e+00,3.890068398013967510e+01
4.015687492880920217e+01,2.726354195882963793e+01
1.984035316790394532e+01,3.544168756105423768e+01
