r,g_r
1.020620726159657612e-02,0.000000000000000000e+00
3.061862178478972837e-02,0.000000000000000000e+00
5.103103630798287715e-02,0.000000000000000000e+00
7.144345083117603634e-02,0.000000000000000000e+00
9.185586535436918165e-02,0.000000000000000000e+00
1.122682798775623270e-01,0.000000000000000000e+00
1.326806944007555000e-01,0.000000000000000000e+00
1.530931089239486453e-01,0.000000000000000000e+00
1.735055234471417906e-01,0.000000000000000000e+00
1.939179379703349360e-01,0.000000000000000000e+00
2.143303524935281090e-01,0.000000000000000000e+00
2.347427670167212543e-01,0.000000000000000000e+00
2.551551815399143996e-01,0.000000000000000000e+00
2.755675960631075450e-01,0.000000000000000000e+00
2.959800105863007458e-01,0.000000000000000000e+00
3.163924251094938356e-01,0.000000000000000000e+00
3.368048396326870364e-01,0.000000000000000000e+00
3.572172541558801262e-01,0.000000000000000000e+00
3.776296686790733270e-01,0.000000000000000000e+00
3.980420832022664168e-01,0.000000000000000000e+00
4.184544977254596176e-01,0.000000000000000000e+00
4.388669122486528185e-01,0.000000000000000000e+00
4.592793267718459083e-01,0.000000000000000000e+00
4.796917412950391091e-01,0.000000000000000000e+00
5.001041558182321989e-01,0.000000000000000000e+00
5.205165703414253997e-01,0.000000000000000000e+00
5.409289848646186005e-01,0.000000000000000000e+00
5.613413993878116903e-01,0.000000000000000000e+00
5.817538139110047801e-01,0.000000000000000000e+00
6.021662284341979809e-01,0.000000000000000000e+00
6.225786429573911818e-01,0.000000000000000000e+00
6.429910574805842716e-01,0.000000000000000000e+00
6.634034720037774724e-01,0.000000000000000000e+00
6.838158865269705622e-01,0.000000000000000000e+00
7.042283010501637630e-01,0.000000000000000000e+00
7.246407155733569638e-01,0.000000000000000000e+00
7.450531300965500536e-01,0.000000000000000000e+00
7.654655446197431434e-01,0.000000000000000000e+00
7.858779591429363443e-01,0.000000000000000000e+00
8.062903736661295451e-01,0.000000000000000000e+00
8.267027881893226349e-01,0.000000000000000000e+00
8.471152027125158357e-01,0.000000000000000000e+00
8.675276172357089255e-01,0.000000000000000000e+00
8.879400317589021263e-01,0.000000000000000000e+00
9.083524462820953271e-01,0.000000000000000000e+00
9.287648608052884169e-01,0.000000000000000000e+00
9.491772753284815067e-01,0.000000000000000000e+00
9.695896898516747076e-01,0.000000000000000000e+00
9.900021043748679084e-01,2.196797630998737535e-03
1.010414518898060887e+00,1.858363851071233308e-01
1.030826933421254310e+00,1.580531496640745215e-01
1.051239347944447289e+00,1.339477668778937536e-01
1.071651762467640490e+00,1.113388564025485777e-01
1.092064176990833690e+00,9.556483844252208759e-02
1.112476591514026669e+00,7.998093662737072729e-02
1.132889006037220092e+00,6.773726143003282185e-02
1.153301420560413071e+00,5.781273730345795614e-02
1.173713835083606272e+00,4.888531266297312106e-02
1.194126249606799473e+00,4.125557302284413308e-02
1.214538664129992451e+00,3.515253890634197770e-02
1.234951078653185874e+00,3.065203193579944113e-02
1.255363493176378853e+00,2.573807157747589822e-02
1.275775907699571832e+00,2.190379453598789369e-02
1.296188322222765255e+00,1.826086170364096817e-02
1.316600736745958233e+00,1.611111917567521756e-02
1.337013151269151656e+00,1.407678089641847818e-02
1.357425565792344635e+00,1.146336812366685783e-02
1.377837980315537614e+00,1.021911490008474421e-02
1.398250394838731037e+00,9.073644031502398413e-03
1.418662809361924015e+00,7.843888395306588060e-03
1.439075223885117216e+00,7.420548427528865509e-03
1.459487638408310417e+00,6.182779999049632311e-03
1.479900052931503396e+00,5.527088958883444314e-03
1.500312467454696819e+00,4.972390189398363455e-03
1.520724881977889797e+00,4.511882413558166056e-03
1.541137296501082998e+00,3.979927583543050110e-03
1.561549711024276199e+00,3.792090168267433538e-03
1.581962125547469178e+00,3.330466071080141147e-03
1.602374540070662601e+00,3.033716234997004598e-03
1.622786954593855580e+00,2.875119032337849611e-03
1.643199369117048558e+00,2.636950272027894886e-03
1.663611783640241981e+00,2.299642466073802561e-03
1.684024198163434960e+00,2.163118237455517821e-03
1.704436612686628383e+00,2.059140935581267942e-03
1.724849027209821362e+00,1.796096493874941875e-03
1.745261441733014340e+00,1.715522755011587028e-03
1.765673856256207763e+00,1.627391492091552786e-03
1.786086270779400742e+00,1.434177023189681750e-03
1.806498685302594165e+00,1.542274341193327876e-03
1.826911099825787144e+00,1.367985638231671019e-03
1.847323514348980122e+00,1.271832650210589881e-03
1.867735928872173545e+00,1.200045664895736837e-03
1.888148343395366524e+00,1.143024992376301223e-03
1.908560757918559725e+00,1.028396261159362363e-03
1.928973172441752926e+00,1.026136759016186466e-03
1.949385586964945904e+00,1.011125519086012760e-03
1.969798001488139327e+00,9.288711290088634380e-04
1.990210416011332306e+00,8.357674960312929269e-04
2.010622830534525285e+00,8.024640704280011248e-04
2.031035245057718708e+00,7.718774807881988815e-04
2.051447659580911687e+00,7.337913873737435646e-04
2.071860074104105109e+00,7.747317663334239842e-04
2.092272488627298088e+00,7.790983828857542303e-04
2.112684903150491067e+00,7.046488997336195241e-04
2.133097317673684490e+00,6.218769986917017586e-04
2.153509732196877469e+00,5.773628418969746533e-04
2.173922146720070891e+00,5.834186834091573256e-04
2.194334561243263870e+00,5.192448524761856480e-04
2.214746975766456849e+00,5.332350683204148227e-04
2.235159390289650272e+00,5.283653416690964853e-04
2.255571804812843251e+00,4.922424737654918381e-04
2.275984219336036674e+00,4.512863390845986856e-04
2.296396633859229652e+00,4.454640753846799057e-04
2.316809048382422631e+00,4.612829081895095779e-04
2.337221462905616054e+00,4.536958377746288574e-04
2.357633877428809033e+00,3.545228031054843145e-04
2.378046291952002456e+00,4.126826198214512075e-04
2.398458706475195434e+00,3.554234644026676906e-04
2.418871120998388413e+00,3.833686662966335687e-04
2.439283535521581392e+00,3.409511751592037465e-04
2.459695950044774815e+00,3.499559644948457447e-04
2.480108364567968238e+00,3.001282350717254690e-04
2.500520779091161216e+00,3.488856788806988352e+00
2.520933193614354195e+00,6.393425049247258407e+00
2.541345608137547174e+00,6.102525665537731570e+00
2.561758022660740597e+00,5.812158543472857986e+00
2.582170437183934020e+00,5.534186308819037947e+00
2.602582851707126999e+00,5.262276070147695606e+00
2.622995266230319977e+00,5.004679180267994631e+00
2.643407680753512956e+00,4.747245818082359570e+00
2.663820095276706379e+00,4.500459425267487212e+00
2.684232509799899802e+00,4.278329642140435318e+00
2.704644924323092781e+00,4.050466155260743051e+00
2.725057338846285759e+00,3.828387726464592689e+00
2.745469753369478738e+00,3.618211673275681495e+00
2.765882167892672161e+00,3.417132129878549751e+00
2.786294582415865584e+00,3.222735881558106641e+00
2.806706996939058563e+00,3.034432634617473035e+00
2.827119411462251541e+00,2.851797703487803481e+00
2.847531825985444520e+00,2.683401170863131124e+00
2.867944240508637943e+00,2.522522974158592390e+00
2.888356655031830922e+00,2.360901051515441829e+00
2.908769069555024345e+00,2.209852066470466170e+00
2.929181484078217323e+00,2.066720299554257956e+00
2.949593898601410302e+00,1.930402442391131013e+00
2.970006313124603725e+00,1.802384948361996919e+00
2.990418727647796704e+00,1.679359330410029605e+00
3.010831142170990127e+00,1.561896674617286207e+00
3.031243556694183106e+00,1.451968423761461180e+00
3.051655971217376084e+00,1.346452777387499689e+00
3.072068385740569507e+00,1.253884273239971536e+00
3.092480800263762486e+00,1.161132609728847243e+00
3.112893214786955909e+00,1.073355129701735189e+00
3.133305629310148888e+00,9.926961830226674888e-01
3.153718043833341866e+00,9.168801515144275882e-01
3.174130458356535289e+00,8.460140458429635801e-01
3.194542872879728268e+00,7.822406265633271572e-01
3.214955287402921691e+00,7.197724197145317637e-01
3.235367701926114670e+00,6.613365249884372021e-01
3.255780116449307648e+00,6.100208004414388041e-01
3.276192530972500627e+00,5.616558704292962112e-01
3.296604945495694050e+00,5.180336312205164884e-01
3.317017360018887473e+00,4.752742304331154521e-01
3.337429774542080452e+00,4.388528861253571112e-01
3.357842189065273431e+00,4.047579750347602423e-01
3.378254603588466409e+00,3.721792280628232752e-01
3.398667018111659832e+00,3.446339034763751252e-01
3.419079432634853255e+00,3.192880382113458815e-01
3.439491847158046234e+00,2.974904172031643812e-01
3.459904261681239213e+00,2.768766432289233581e-01
3.480316676204432191e+00,2.585502201288312207e-01
3.500729090727625614e+00,2.437243303083070078e-01
3.521141505250819037e+00,2.315645557724027304e-01
3.541553919774012016e+00,2.183977884033040107e-01
3.561966334297204995e+00,2.047795303632792829e-01
3.582378748820397973e+00,1.919537388627941821e-01
3.602791163343591396e+00,1.794845028120112818e-01
3.623203577866784819e+00,1.669732794828147904e-01
3.643615992389977798e+00,1.553760251870788811e-01
3.664028406913170777e+00,1.446014249664667739e-01
3.684440821436363755e+00,1.348570180447794808e-01
3.704853235959557178e+00,1.258777227129531384e-01
3.725265650482750157e+00,1.176922635919841892e-01
3.745678065005943580e+00,1.088755114133418411e-01
3.766090479529136559e+00,1.036854514547960876e-01
3.786502894052329538e+00,9.788583254023369706e-02
3.806915308575522960e+00,9.250341305814305248e-02
3.827327723098715939e+00,8.902871170999056283e-02
3.847740137621909362e+00,8.549253044101264021e-02
3.868152552145102341e+00,8.274511684075266937e-02
3.888564966668295320e+00,8.174826142381767802e-02
3.908977381191488742e+00,8.179157859969381217e-02
3.929389795714681721e+00,8.177094910553585339e-02
3.949802210237875144e+00,8.314866171707875619e-02
3.970214624761068123e+00,8.499715150215265969e-02
3.990627039284261102e+00,8.944745516564472920e-02
4.011039453807454080e+00,9.394576922159272869e-02
4.031451868330647059e+00,1.001004813114482472e-01
4.051864282853840926e+00,1.074308854837949662e-01
4.072276697377033905e+00,1.163747326041059404e-01
4.092689111900226884e+00,1.263012986316994768e-01
4.113101526423419863e+00,1.392483009234478653e-01
4.133513940946613729e+00,1.531126826588051493e-01
4.153926355469806708e+00,1.704937199830110772e-01
4.174338769992999687e+00,1.903695467961997734e-01
4.194751184516192666e+00,2.115994011279569431e-01
4.215163599039385645e+00,2.382981567146729429e-01
4.235576013562578623e+00,2.672391742279703331e-01
