r,g_r
6.412364700532213226e-03,0.000000000000000000e+00
1.923709410159664054e-02,0.000000000000000000e+00
3.206182350266106873e-02,0.000000000000000000e+00
4.488655290372549345e-02,0.000000000000000000e+00
5.771128230478991816e-02,0.000000000000000000e+00
7.053601170585435676e-02,0.000000000000000000e+00
8.336074110691876760e-02,0.000000000000000000e+00
9.618547050798320619e-02,0.000000000000000000e+00
1.090101999090476170e-01,0.000000000000000000e+00
1.218349293101120556e-01,0.000000000000000000e+00
1.346596587111764665e-01,0.000000000000000000e+00
1.474843881122409051e-01,0.000000000000000000e+00
1.603091175133053436e-01,0.000000000000000000e+00
1.731338469143697545e-01,0.000000000000000000e+00
1.859585763154341653e-01,0.000000000000000000e+00
1.987833057164986039e-01,0.000000000000000000e+00
2.116080351175630425e-01,0.000000000000000000e+00
2.244327645186274811e-01,0.000000000000000000e+00
2.372574939196918919e-01,0.000000000000000000e+00
2.500822233207563583e-01,0.000000000000000000e+00
2.629069527218207414e-01,0.000000000000000000e+00
2.757316821228851245e-01,0.000000000000000000e+00
2.885564115239496186e-01,0.000000000000000000e+00
3.013811409250140017e-01,0.000000000000000000e+00
3.142058703260784958e-01,0.000000000000000000e+00
3.270305997271428788e-01,0.000000000000000000e+00
3.398553291282072619e-01,0.000000000000000000e+00
3.526800585292717560e-01,0.000000000000000000e+00
3.655047879303361391e-01,0.000000000000000000e+00
3.783295173314005777e-01,0.000000000000000000e+00
3.911542467324650163e-01,0.000000000000000000e+00
4.039789761335293994e-01,0.000000000000000000e+00
4.168037055345938935e-01,0.000000000000000000e+00
4.296284349356582766e-01,0.000000000000000000e+00
4.424531643367227152e-01,0.000000000000000000e+00
4.552778937377871538e-01,0.000000000000000000e+00
4.681026231388515368e-01,0.000000000000000000e+00
4.809273525399160309e-01,0.000000000000000000e+00
4.937520819409804140e-01,0.000000000000000000e+00
5.065768113420447971e-01,0.000000000000000000e+00
5.194015407431092912e-01,0.000000000000000000e+00
5.322262701441736743e-01,0.000000000000000000e+00
5.450509995452381684e-01,0.000000000000000000e+00
5.578757289463025515e-01,0.000000000000000000e+00
5.707004583473669346e-01,0.000000000000000000e+00
5.835251877484314287e-01,0.000000000000000000e+00
5.963499171494958118e-01,0.000000000000000000e+00
6.091746465505603059e-01,0.000000000000000000e+00
6.219993759516246890e-01,0.000000000000000000e+00
6.348241053526890720e-01,0.000000000000000000e+00
6.476488347537535661e-01,0.000000000000000000e+00
6.604735641548179492e-01,0.000000000000000000e+00
6.732982935558824433e-01,0.000000000000000000e+00
6.861230229569468264e-01,0.000000000000000000e+00
6.989477523580112095e-01,0.000000000000000000e+00
7.117724817590755926e-01,0.000000000000000000e+00
7.245972111601400867e-01,0.000000000000000000e+00
7.374219405612045808e-01,0.000000000000000000e+00
7.502466699622689639e-01,0.000000000000000000e+00
7.630713993633333470e-01,0.000000000000000000e+00
7.758961287643977300e-01,0.000000000000000000e+00
7.887208581654622241e-01,0.000000000000000000e+00
8.015455875665267182e-01,0.000000000000000000e+00
8.143703169675911013e-01,0.000000000000000000e+00
8.271950463686554844e-01,0.000000000000000000e+00
8.400197757697198675e-01,0.000000000000000000e+00
8.528445051707843616e-01,0.000000000000000000e+00
8.656692345718488557e-01,0.000000000000000000e+00
8.784939639729132388e-01,0.000000000000000000e+00
8.913186933739776219e-01,0.000000000000000000e+00
9.041434227750420050e-01,0.000000000000000000e+00
9.169681521761064991e-01,0.000000000000000000e+00
9.297928815771709932e-01,0.000000000000000000e+00
9.426176109782353763e-01,0.000000000000000000e+00
9.554423403792997593e-01,0.000000000000000000e+00
9.682670697803641424e-01,0.000000000000000000e+00
9.810917991814286365e-01,0.000000000000000000e+00
9.939165285824930196e-01,8.792745862480778885e-02
1.006741257983557514e+00,3.317476401193143243e+00
1.019565987384621897e+00,3.036999508835002803e+00
1.032390716785686280e+00,2.787423461255149171e+00
1.045215446186750885e+00,2.551525804838806089e+00
1.058040175587815046e+00,2.341768098464013903e+00
1.070864904988879651e+00,2.148898986552880697e+00
1.083689634389944034e+00,1.981518745472778065e+00
1.096514363791008417e+00,1.831692237571791448e+00
1.109339093192073022e+00,1.688052451081148986e+00
1.122163822593137184e+00,1.568090974520574443e+00
1.134988551994201789e+00,1.466189574328466305e+00
1.147813281395266172e+00,1.378872618776824321e+00
1.160638010796330555e+00,1.302214818847580391e+00
1.173462740197395160e+00,1.236772850959050096e+00
1.186287469598459321e+00,1.176157300633160041e+00
1.199112198999523926e+00,1.132092157891046780e+00
1.211936928400588309e+00,1.097104032349816904e+00
1.224761657801652692e+00,1.062407074948522379e+00
1.237586387202717297e+00,1.042807728335543027e+00
1.250411116603781458e+00,1.024195456849026131e+00
1.263235846004846064e+00,1.008058260760581915e+00
1.276060575405910447e+00,9.974110720248438033e-01
1.288885304806974830e+00,9.988238633857341453e-01
1.301710034208039435e+00,9.966362192287487876e-01
1.314534763609103596e+00,1.003252142627133914e+00
1.327359493010168201e+00,1.005720967756404738e+00
1.340184222411232584e+00,1.017421961182425783e+00
1.353008951812296967e+00,1.033224597714209825e+00
1.365833681213361572e+00,1.048294341742153968e+00
1.378658410614425733e+00,1.075229120846365349e+00
1.391483140015490338e+00,1.100766163957544119e+00
1.404307869416554500e+00,1.135628279850526390e+00
