x,y
1.180929679462517434e+01,2.145665303327593776e+01
2.157522787894379945e+01,1.093591395839105118e+01
3.465986256780498209e+00,1.108771684117244050e+01
9.078008985516266449e+00,1.773833827404550423e+00
1.804624686774473474e+01,9.147213848330014940e+00
2.234661643632445660e+01,1.920423566109854363e+01
8.296000568340375025e+00,8.585699041695676215e+00
1.705437571792382556e+01,2.119134723965802891e+01
8.955199637509709376e+00,6.172424279908471867e+00
7.359811450218090023e+00,2.215814017352478871e+01
1.331622846664540560e+01,2.161074624558881041e+01
2.059057060529443461e+01,9.640867505151302197e+00
3.264720677393379233e+00,3.242186880388414405e+00
1.665709122603145786e+01,2.310075978835709876e+01
1.129789347959153112e+01,1.064870237168540790e+01
7.303216396879143701e+00,4.029007988037929699e+00
4.930267585319997536e+00,7.460584739812766486e+00
1.315615170974219161e+01,4.397516608388974291e+00
6.562616836721854696e+00,5.326119762473576102e+00
5.853331734846239698e+00,7.886294256863228824e+00
1.783844062781767770e+00,1.558884340619191988e+01
2.133232540968299773e+01,3.074198749472544456e+00
7.414818640088230772e+00,1.476105838287069894e+01
2.496233367866293307e+01,2.499885800028826210e+01
2.563583140069048838e+01,6.233476875830309183e+00
1.504597989025420368e+01,1.968319961301745380e+01
1.063912913019343698e+01,1.712018334656840324e+01
1.144961998474825293e+01,1.429950889526391222e+01
1.106650221322540695e+01,1.966960592367883365e+01
7.239992452773421405e+00,1.859815636320713139e+01
1.982326977539526780e+01,1.895883233770859633e+01
3.150033683266436069e-01,2.472504073610281594e+01
1.681843337742536448e+01,5.792265515098871109e-01
1.419090853616351211e+01,1.329187344760486589e+01
1.582357206851517706e+00,1.981711663918243005e+01
1.750993240063004919e+01,1.796957949196570681e+01
8.631113549146430586e+00,1.874621040349577328e+01
1.450296261222181649e+01,2.071655468548188850e+01
4.833790870388939176e+00,1.538698346194622246e+01
6.261902662127900143e+00,2.336478901486946924e+01
8.076606992592985090e-01,3.808218601831106387e+00
1.069688785502868278e+01,2.078567953826755499e+01
2.008534556226199896e+01,1.468456205772719514e+01
1.303803674579425120e+01,1.790814318798843985e+01
1.099323895063288248e+01,7.908736812027771457e+00
1.804067482372651199e+01,5.557052660316776027e+00
1.004575501889214095e+01,5.484226615691351725e+00
2.259059888412154393e+01,2.183507540650203183e+01
2.362842251980252684e+01,2.237289065706250213e+01
6.375402245524957934e+00,1.444319177455665404e+00
2.451152568688247158e+01,2.086864679690708879e+00
2.498901903933430813e+00,5.770495038305238911e-01
1.446769390274361688e+00,1.297659898280675783e+01
1.602689087937247336e+01,1.870879349063996600e+01
8.785827429024511304e+00,2.244607445362232667e+01
2.340696889973316885e+01,1.263927854497091197e+01
1.660080560901230484e+01,1.423093869172095616e+01
2.408898059050535068e+01,1.186638130304038263e+01
1.155325190166565896e+01,4.563011569149246327e+00
