r,g_r
2.082431890144911701e+00,5.293429998892597646e-03
2.099024972934911304e+00,4.791004136710865467e-03
2.115618055724910462e+00,4.282079347313310323e-03
2.132211138514909621e+00,3.728758797468783269e-03
2.148804221304908779e+00,3.265785692503654462e-03
2.165397304094908382e+00,2.987868798311863958e-03
2.181990386884907540e+00,2.618129071455469001e-03
2.198583469674907143e+00,2.229370372668318997e-03
2.215176552464906301e+00,1.847961754216379416e-03
2.231769635254905459e+00,1.663068574119515352e-03
2.248362718044904618e+00,1.553070346522723638e-03
2.264955800834903776e+00,1.335735551692837034e-03
2.281548883624903379e+00,1.244533780453869858e-03
2.298141966414902537e+00,1.141410988262230768e-03
2.314735049204902140e+00,9.652889910479477186e-04
2.331328131994901298e+00,9.033204115245695122e-04
2.347921214784900457e+00,7.918380207540300086e-04
2.364514297574899615e+00,7.848516604177812640e-04
2.381107380364899218e+00,6.729093175798994079e-04
2.397700463154898376e+00,5.611065343165113012e-04
2.414293545944897978e+00,5.250472349423282361e-04
2.430886628734897137e+00,4.255140485340214119e-04
2.447479711524896295e+00,4.516331727494532012e-04
2.464072794314895454e+00,3.964619296198827248e-04
2.480665877104895056e+00,3.311274481558770626e-04
2.497258959894894215e+00,2.359308646362570538e+00
2.513852042684893817e+00,6.604588506712897100e+00
2.530445125474892976e+00,6.005994332387767365e+00
2.547038208264892134e+00,5.451571446809872157e+00
2.563631291054891292e+00,4.980269639174490059e+00
2.580224373844890451e+00,4.535862574006796599e+00
2.596817456634890053e+00,4.148059207287057681e+00
2.613410539424889212e+00,3.786511900153990862e+00
2.630003622214888814e+00,3.473451460180932315e+00
2.646596705004887973e+00,3.184759900612041505e+00
2.663189787794887131e+00,2.924199522754964864e+00
2.679782870584886290e+00,2.693633099436558709e+00
2.696375953374885892e+00,2.482196868280606150e+00
2.712969036164885051e+00,2.291955778888533413e+00
2.729562118954884653e+00,2.119855760123712685e+00
2.746155201744883811e+00,1.963205822972966752e+00
2.762748284534882970e+00,1.828269821192764821e+00
2.779341367324882128e+00,1.698883144468628092e+00
2.795934450114881287e+00,1.589871021615210767e+00
2.812527532904880889e+00,1.486721929059939384e+00
2.829120615694880048e+00,1.391860962928024970e+00
2.845713698484879650e+00,1.311981662754058808e+00
2.862306781274878809e+00,1.237512664542876228e+00
2.878899864064877967e+00,1.174538895854084108e+00
2.895492946854877125e+00,1.115364262109463933e+00
2.912086029644876728e+00,1.060994067541635832e+00
2.928679112434875886e+00,1.015812294531513116e+00
2.945272195224875489e+00,9.765304005561507017e-01
2.961865278014874647e+00,9.383745486120769197e-01
2.978458360804873806e+00,9.034709198258225049e-01
2.995051443594872964e+00,8.721638682141489296e-01
3.011644526384872567e+00,8.488858511531335305e-01
3.028237609174871725e+00,8.225007460522599789e-01
3.044830691964871328e+00,8.009560718498456300e-01
3.061423774754870486e+00,7.821282099303048518e-01
3.078016857544869644e+00,7.639041912088854192e-01
3.094609940334868803e+00,7.495305186542611242e-01
3.111203023124867961e+00,7.348657876959135971e-01
3.127796105914867564e+00,7.253074923801805518e-01
3.144389188704866722e+00,7.167778277080437688e-01
3.160982271494866325e+00,7.144332223227455314e-01
3.177575354284865483e+00,7.110982353534740508e-01
3.194168437074864642e+00,7.107240335713324031e-01
3.210761519864863800e+00,7.133668356955958911e-01
3.227354602654863402e+00,7.201071039797830586e-01
3.243947685444862561e+00,7.300858450712488512e-01
3.260540768234862163e+00,7.426440167573539197e-01
3.277133851024861322e+00,7.620561089236381758e-01
3.293726933814860480e+00,7.895311592476303986e-01
3.310320016604859639e+00,8.198064576956610727e-01
3.326913099394858797e+00,8.593926214621058213e-01
3.343506182184858400e+00,9.086140693950476299e-01
3.360099264974857558e+00,9.655594796591733253e-01
3.376692347764857161e+00,1.029274084284917734e+00
3.393285430554856319e+00,1.092014908664186379e+00
3.409878513344855477e+00,1.161264849232690688e+00
3.426471596134854636e+00,1.229167329009027698e+00
3.443064678924854238e+00,1.302086059860707135e+00
3.459657761714853397e+00,1.377148593447681924e+00
3.476250844504852999e+00,1.455340391553673118e+00
3.492843927294852158e+00,1.550300340801648025e+00
3.509437010084851316e+00,1.670842816535281106e+00
3.526030092874850475e+00,1.755338726285045503e+00
3.542623175664850077e+00,1.797107663764370589e+00
3.559216258454849235e+00,1.806764072392025300e+00
3.575809341244848838e+00,1.791494242380797131e+00
3.592402424034847996e+00,1.752456563340945683e+00
3.608995506824847155e+00,1.705752754328543785e+00
3.625588589614846313e+00,1.644134632019353726e+00
3.642181672404845472e+00,1.584302116626468804e+00
3.658774755194845074e+00,1.514021672938545171e+00
3.675367837984844233e+00,1.443849734913021932e+00
3.691960920774843835e+00,1.378388415952044532e+00
3.708554003564842994e+00,1.311214099303587233e+00
3.725147086354842152e+00,1.244218984286048046e+00
3.741740169144841310e+00,1.182325159575474238e+00
3.758333251934840913e+00,1.122771299517355326e+00
3.774926334724840071e+00,1.066197250850471123e+00
3.791519417514839674e+00,1.008758771760881467e+00
3.808112500304838832e+00,9.609637598953255644e-01
3.824705583094837991e+00,9.149984359495265673e-01
3.841298665884837149e+00,8.724169161085423285e-01
3.857891748674836307e+00,8.299581031265980124e-01
3.874484831464835910e+00,7.916494193345409158e-01
3.891077914254835068e+00,7.566446164582534273e-01
3.907670997044834671e+00,7.254292848876272570e-01
3.924264079834833829e+00,6.936699485486151895e-01
3.940857162624832988e+00,6.659144678128535721e-01
3.957450245414832146e+00,6.416290223869233200e-01
3.974043328204831749e+00,6.187431701850888421e-01
3.990636410994830907e+00,5.971115463546036173e-01
4.007229493784830510e+00,5.758775469315348117e-01
4.023822576574829668e+00,5.588661574016579037e-01
4.040415659364828826e+00,5.415176152334975068e-01
4.057008742154827985e+00,5.260840411002009054e-01
4.073601824944827143e+00,5.126407815469039564e-01
4.090194907734826302e+00,4.990214720797491732e-01
4.106787990524826348e+00,4.878934585294065207e-01
4.123381073314825507e+00,4.792414211458778106e-01
4.139974156104824665e+00,4.697834439950304142e-01
4.156567238894823824e+00,4.610556433218698791e-01
4.173160321684822982e+00,4.553537969050581169e-01
4.189753404474823029e+00,4.504514765425953748e-01
4.206346487264822187e+00,4.487782149554755962e-01
4.222939570054821345e+00,4.470420586025063980e-01
4.239532652844820504e+00,4.480096906978181526e-01
4.256125735634819662e+00,4.492747597265998039e-01
4.272718818424818821e+00,4.538614898722869162e-01
4.289311901214817979e+00,4.601141945171805525e-01
4.305904984004817138e+00,4.686871796388979439e-01
4.322498066794817184e+00,4.795779670291303032e-01
4.339091149584816343e+00,4.936028848834979055e-01
4.355684232374815501e+00,5.122006472218842976e-01
4.372277315164814659e+00,5.319197625150022812e-01
4.388870397954813818e+00,5.524032320819037833e-01
4.405463480744813864e+00,5.769663656417440833e-01
4.422056563534813023e+00,5.999860190784990222e-01
4.438649646324812181e+00,6.246316151827300267e-01
4.455242729114811340e+00,6.473083456779544775e-01
4.471835811904810498e+00,6.678574644292711859e-01
4.488428894694809657e+00,6.846517339583311212e-01
4.505021977484808815e+00,7.024327975394381030e-01
4.521615060274807973e+00,7.157181787739750334e-01
4.538208143064808020e+00,7.259418791875155152e-01
4.554801225854807178e+00,7.357645469424730633e-01
4.571394308644806337e+00,7.411709017177831038e-01
4.587987391434805495e+00,7.445576992672503502e-01
4.604580474224804654e+00,7.461714133918774250e-01
4.621173557014804700e+00,7.476864922950111625e-01
4.637766639804803859e+00,7.507920506506439162e-01
4.654359722594803017e+00,7.483420259355815229e-01
4.670952805384802176e+00,7.509701621840663144e-01
4.687545888174801334e+00,7.522795004985430856e-01
4.704138970964800492e+00,7.552553377981969795e-01
4.720732053754799651e+00,7.587336932790218480e-01
4.737325136544799697e+00,7.652231207486079878e-01
4.753918219334798856e+00,7.754173705654209270e-01
4.770511302124798014e+00,7.854308731114577613e-01
4.787104384914797173e+00,8.000933145031802196e-01
4.803697467704796331e+00,8.167922719402092024e-01
4.820290550494795490e+00,8.350263457591079463e-01
4.836883633284795536e+00,8.555526787409019063e-01
4.853476716074794695e+00,8.762555559036216968e-01
4.870069798864793853e+00,8.991981199753991127e-01
4.886662881654793011e+00,9.231200274995635668e-01
4.903255964444792170e+00,9.461465031619683552e-01
4.919849047234791328e+00,9.747691783701117885e-01
4.936442130024790487e+00,1.004697703492197780e+00
4.953035212814790533e+00,1.040742676808431133e+00
4.969628295604789692e+00,1.082306838263958682e+00
4.986221378394788850e+00,1.131856313962966931e+00
5.002814461184788009e+00,1.206762504544777181e+00
5.019407543974787167e+00,1.289256182668344852e+00
5.036000626764787214e+00,1.353675729303833286e+00
5.052593709554786372e+00,1.398552742452470188e+00
5.069186792344785530e+00,1.431813090391744758e+00
5.085779875134784689e+00,1.449910192919363849e+00
5.102372957924783847e+00,1.458980309207463799e+00
5.118966040714783006e+00,1.456900366320380780e+00
5.135559123504782164e+00,1.450070343795666794e+00
5.152152206294781323e+00,1.439797155848018040e+00
5.168745289084781369e+00,1.424591470954866823e+00
5.185338371874780528e+00,1.405277704273791395e+00
5.201931454664779686e+00,1.384415166548303100e+00
5.218524537454778844e+00,1.362192229240498431e+00
5.235117620244778003e+00,1.338332554436471922e+00
5.251710703034778049e+00,1.313237208456754068e+00
5.268303785824777208e+00,1.288706738418515574e+00
5.284896868614776366e+00,1.266862553458042218e+00
5.301489951404775525e+00,1.245065204446889728e+00
5.318083034194774683e+00,1.222445351412787096e+00
5.334676116984773842e+00,1.201366578344788660e+00
5.351269199774773000e+00,1.183421555582040430e+00
5.367862282564772158e+00,1.166895429298431930e+00
5.384455365354772205e+00,1.153207074116126662e+00
5.401048448144771363e+00,1.139925770753015932e+00
5.417641530934770522e+00,1.127359128060016591e+00
5.434234613724769680e+00,1.118001825156205165e+00
5.450827696514768839e+00,1.108898078768425943e+00
5.467420779304768885e+00,1.100448070873622841e+00
5.484013862094768044e+00,1.092476358944182824e+00
5.500606944884767202e+00,1.083860160948794116e+00
5.517200027674766361e+00,1.076746019122947873e+00
5.533793110464765519e+00,1.071980497892798034e+00
5.550386193254764677e+00,1.064590564134581419e+00
5.566979276044763836e+00,1.057510033584982523e+00
5.583572358834762994e+00,1.053749847173979015e+00
5.600165441624763041e+00,1.045836170349877525e+00
5.616758524414762199e+00,1.039815053239297571e+00
5.633351607204761358e+00,1.035658971220670743e+00
5.649944689994760516e+00,1.030091999032233252e+00
5.666537772784759674e+00,1.027759258780130969e+00
5.683130855574759721e+00,1.023048457468049177e+00
5.699723938364758880e+00,1.020536893759252051e+00
5.716317021154758038e+00,1.020343199460237438e+00
5.732910103944757196e+00,1.019200727052858912e+00
5.749503186734756355e+00,1.020945126303624217e+00
5.766096269524755513e+00,1.025506920355482299e+00
5.782689352314754672e+00,1.029914516697791216e+00
5.799282435104754718e+00,1.036564896497474075e+00
5.815875517894753877e+00,1.045284839477244931e+00
5.832468600684753035e+00,1.058396979820894535e+00
5.849061683474752193e+00,1.069890511225956464e+00
5.865654766264751352e+00,1.086594945664371092e+00
5.882247849054750510e+00,1.103293636107111286e+00
5.898840931844750557e+00,1.123438668165185339e+00
5.915434014634749715e+00,1.144538134363714210e+00
5.932027097424748874e+00,1.166025010978404719e+00
5.948620180214748032e+00,1.188363159191053287e+00
5.965213263004747191e+00,1.211517708312299213e+00
5.981806345794746349e+00,1.233641335750698120e+00
5.998399428584745507e+00,1.254652994620827799e+00
6.014992511374745554e+00,1.273593593138202973e+00
6.031585594164744712e+00,1.290349082038602768e+00
6.048178676954743871e+00,1.303826915403705211e+00
6.064771759744743029e+00,1.314387302607736396e+00
6.081364842534742188e+00,1.318874673410834975e+00
6.097957925324742234e+00,1.319977240837556076e+00
6.114551008114741393e+00,1.315769408036559618e+00
6.131144090904740551e+00,1.309435798089830350e+00
6.147737173694739710e+00,1.296476080513006668e+00
6.164330256484738868e+00,1.282776742974546469e+00
6.180923339274738026e+00,1.263849360366585906e+00
6.197516422064737185e+00,1.245886200405959654e+00
6.214109504854736343e+00,1.224119221039492444e+00
6.230702587644736390e+00,1.202767109201770879e+00
6.247295670434735548e+00,1.179044302499941521e+00
6.263888753224734707e+00,1.153425646155426643e+00
6.280481836014733865e+00,1.129931102179489555e+00
6.297074918804733024e+00,1.104675646586506188e+00
6.313668001594733070e+00,1.080538604532168545e+00
6.330261084384732229e+00,1.054973646445801716e+00
6.346854167174731387e+00,1.030429135237578064e+00
6.363447249964730545e+00,1.009657245841691697e+00
6.380040332754729704e+00,9.858822608976193225e-01
6.396633415544728862e+00,9.640490262353563766e-01
6.413226498334728021e+00,9.432200714193043067e-01
6.429819581124727179e+00,9.241551794638187545e-01
6.446412663914727226e+00,9.073970864219671473e-01
6.463005746704726384e+00,8.882678701069059990e-01
6.479598829494725543e+00,8.722665781881029368e-01
6.496191912284724701e+00,8.557095969540818858e-01
6.512784995074723859e+00,8.437120383422517245e-01
6.529378077864723906e+00,8.308653267394938702e-01
6.545971160654723064e+00,8.169063607319390075e-01
6.562564243444722223e+00,8.057943219440921734e-01
6.579157326234721381e+00,7.965509901821653527e-01
6.595750409024720540e+00,7.879245770659254466e-01
6.612343491814719698e+00,7.800305733128490848e-01
6.628936574604718857e+00,7.713438779392598477e-01
6.645529657394718015e+00,7.643664232951552506e-01
6.662122740184718062e+00,7.586221880734265177e-01
6.678715822974717220e+00,7.557089512315137148e-01
6.695308905764716378e+00,7.512697710377926885e-01
6.711901988554715537e+00,7.502782309471716093e-01
6.728495071344714695e+00,7.472307858064410890e-01
6.745088154134714742e+00,7.487287491965268771e-01
6.761681236924713900e+00,7.499803977715634451e-01
6.778274319714713059e+00,7.507915519521722869e-01
6.794867402504712217e+00,7.555507307544636619e-01
6.811460485294711376e+00,7.572058858476455878e-01
6.828053568084710534e+00,7.622867517718585617e-01
6.844646650874709692e+00,7.675020069554082669e-01
6.861239733664709739e+00,7.749903346561595185e-01
6.877832816454708897e+00,7.813430904551909029e-01
6.894425899244708056e+00,7.898191413194337596e-01
6.911018982034707214e+00,7.973960859030280179e-01
6.927612064824706373e+00,8.060980501979225776e-01
6.944205147614705531e+00,8.159549385539262012e-01
6.960798230404705578e+00,8.237893240931931649e-01
6.977391313194704736e+00,8.305719737273375980e-01
6.993984395984703895e+00,8.415659676394280364e-01
7.010577478774703053e+00,8.484133011443073524e-01
7.027170561564702211e+00,8.573111793707774986e-01
7.043763644354701370e+00,8.634196979283634832e-01
7.060356727144700528e+00,8.706902151757602848e-01
7.076949809934700575e+00,8.761082196307505843e-01
7.093542892724699733e+00,8.815199380604226143e-01
7.110135975514698892e+00,8.857967626453882026e-01
7.126729058304698050e+00,8.905128088636919959e-01
7.143322141094697209e+00,8.942094118158553373e-01
7.159915223884697255e+00,8.962685767500454537e-01
7.176508306674696414e+00,8.991882027720067283e-01
7.193101389464695572e+00,9.021775378870245943e-01
7.209694472254694730e+00,9.033419188753145646e-01
7.226287555044693889e+00,9.049921218648954158e-01
7.242880637834693047e+00,9.090373799340104588e-01
7.259473720624692206e+00,9.115922513784775472e-01
7.276066803414691364e+00,9.143580038624150585e-01
7.292659886204691411e+00,9.162471637029709903e-01
7.309252968994690569e+00,9.196871972767720615e-01
7.325846051784689728e+00,9.234563305634593267e-01
7.342439134574688886e+00,9.290186439536188834e-01
7.359032217364688044e+00,9.335747183954919981e-01
7.375625300154688091e+00,9.375461147504110526e-01
7.392218382944687249e+00,9.424956384316779401e-01
7.408811465734686408e+00,9.491480959261774375e-01
7.425404548524685566e+00,9.537045033603821498e-01
7.441997631314684725e+00,9.595569261730905186e-01
7.458590714104683883e+00,9.652287643468703271e-01
7.475183796894683042e+00,9.746101829594066013e-01
7.491776879684682200e+00,9.814102210606842069e-01
7.508369962474682247e+00,9.885223604934267883e-01
7.524963045264681405e+00,9.964216013885517365e-01
7.541556128054680563e+00,1.004735651965411813e+00
7.558149210844679722e+00,1.012331601923767588e+00
7.574742293634678880e+00,1.018726852991051812e+00
7.591335376424678927e+00,1.026271482757447728e+00
7.607928459214678085e+00,1.031400342299140904e+00
7.624521542004677244e+00,1.036780867144614149e+00
7.641114624794676402e+00,1.041415166590999641e+00
7.657707707584675560e+00,1.045894747318694362e+00
7.674300790374674719e+00,1.046439160284500902e+00
7.690893873164673877e+00,1.050261814389349402e+00
7.707486955954673036e+00,1.050742291135648543e+00
7.724080038744673082e+00,1.053105152765490216e+00
7.740673121534672241e+00,1.053281395175981627e+00
7.757266204324671399e+00,1.052374017206077372e+00
7.773859287114670558e+00,1.053509435377067760e+00
7.790452369904669716e+00,1.054505940237201234e+00
7.807045452694669763e+00,1.055346232254473771e+00
7.823638535484668921e+00,1.055247540682555218e+00
7.840231618274668079e+00,1.054790981286881646e+00
7.856824701064667238e+00,1.055202852365702659e+00
7.873417783854666396e+00,1.055909226929444333e+00
7.890010866644665555e+00,1.055757056280802075e+00
7.906603949434664713e+00,1.058021927240537785e+00
7.923197032224664760e+00,1.056961929378869680e+00
7.939790115014663918e+00,1.057927792777502374e+00
7.956383197804663077e+00,1.060510027339752748e+00
7.972976280594662235e+00,1.061874042828450326e+00
7.989569363384661393e+00,1.062021506119191327e+00
8.006162446174661440e+00,1.063419378688189365e+00
8.022755528964660598e+00,1.064980426653507672e+00
8.039348611754659757e+00,1.066203699308667208e+00
8.055941694544658915e+00,1.067285141438669482e+00
8.072534777334658074e+00,1.067432110210239982e+00
8.089127860124657232e+00,1.068849260510776444e+00
8.105720942914656391e+00,1.070230999753207346e+00
8.122314025704655549e+00,1.070537936419749370e+00
8.138907108494654707e+00,1.070237242849719772e+00
8.155500191284653866e+00,1.072584660417887248e+00
8.172093274074654801e+00,1.073896714967637722e+00
8.188686356864653959e+00,1.074628004660151515e+00
8.205279439654653117e+00,1.074710370355852929e+00
8.221872522444652276e+00,1.073732492703817432e+00
8.238465605234651434e+00,1.075970861856714089e+00
8.255058688024650593e+00,1.075442766781589121e+00
8.271651770814649751e+00,1.078782739038694816e+00
8.288244853604648910e+00,1.077988069372938007e+00
8.304837936394648068e+00,1.079611074944005322e+00
8.321431019184647226e+00,1.081942957809155281e+00
8.338024101974646385e+00,1.084153261087533515e+00
8.354617184764645543e+00,1.087083072573114872e+00
8.371210267554644702e+00,1.088085226803382044e+00
8.387803350344643860e+00,1.091954816785231985e+00
8.404396433134644795e+00,1.095399679349823963e+00
8.420989515924643953e+00,1.097805349695440746e+00
8.437582598714643112e+00,1.102804425411576084e+00
8.454175681504642270e+00,1.104833060684367041e+00
8.470768764294641429e+00,1.110012280264517148e+00
8.487361847084640587e+00,1.112714680526896593e+00
8.503954929874639745e+00,1.115653381824559087e+00
8.520548012664638904e+00,1.118849616955279513e+00
8.537141095454638062e+00,1.123982312991637533e+00
8.553734178244637221e+00,1.124826297559573751e+00
8.570327261034636379e+00,1.126920483239885806e+00
8.586920343824635538e+00,1.127964167467687462e+00
8.603513426614636472e+00,1.128556706421006472e+00
8.620106509404635631e+00,1.128111314325598968e+00
8.636699592194634789e+00,1.126192094546710987e+00
8.653292674984633948e+00,1.125625205812867069e+00
8.669885757774633106e+00,1.120343579194785111e+00
8.686478840564632264e+00,1.118924176640188506e+00
8.703071923354631423e+00,1.112980609498088969e+00
8.719665006144630581e+00,1.108515347689447594e+00
8.736258088934629740e+00,1.103636395520864788e+00
8.752851171724628898e+00,1.097182883740604797e+00
8.769444254514628057e+00,1.088929387440130681e+00
8.786037337304627215e+00,1.082439152521135428e+00
8.802630420094626373e+00,1.074489563886265708e+00
8.819223502884625532e+00,1.067520446800855671e+00
8.835816585674626467e+00,1.058838343272243909e+00
8.852409668464625625e+00,1.048145876401108234e+00
8.869002751254624783e+00,1.041163397754324205e+00
8.885595834044623942e+00,1.033209899913963836e+00
8.902188916834623100e+00,1.024341315023574506e+00
8.918781999624622259e+00,1.016540429115462496e+00
8.935375082414621417e+00,1.007598033954867800e+00
8.951968165204620576e+00,9.991071766939282339e-01
8.968561247994619734e+00,9.911316867716867263e-01
8.985154330784618892e+00,9.835727751292044907e-01
9.001747413574618051e+00,9.770526239659729217e-01
9.018340496364617209e+00,9.692378255670208720e-01
9.034933579154618144e+00,9.621719479697706801e-01
9.051526661944617302e+00,9.574537304921495462e-01
9.068119744734616461e+00,9.500509494273693401e-01
9.084712827524615619e+00,9.444150952301103574e-01
9.101305910314614778e+00,9.385260620014106436e-01
9.117898993104613936e+00,9.334707410952949314e-01
9.134492075894613095e+00,9.297289983669521085e-01
9.151085158684612253e+00,9.250924961081939957e-01
9.167678241474611411e+00,9.215700911275150897e-01
9.184271324264610570e+00,9.174718942856977533e-01
9.200864407054609728e+00,9.155876817540733459e-01
9.217457489844608887e+00,9.123372172120660650e-01
9.234050572634608045e+00,9.097152635600391779e-01
9.250643655424608980e+00,9.085482939611664310e-01
9.267236738214608138e+00,9.071619055701777290e-01
9.283829821004607297e+00,9.070104292183677197e-01
9.300422903794606455e+00,9.062056320496924000e-01
9.317015986584605614e+00,9.054349032167184896e-01
9.333609069374604772e+00,9.069261057302839824e-01
9.350202152164603930e+00,9.057418051926222624e-01
9.366795234954603089e+00,9.090915011891224085e-01
9.383388317744602247e+00,9.100643444715947883e-01
9.399981400534601406e+00,9.119061638796087665e-01
9.416574483324600564e+00,9.134751328249497426e-01
9.433167566114599722e+00,9.162791675763224397e-01
9.449760648904600657e+00,9.176890004038144033e-01
9.466353731694599816e+00,9.195923847110177851e-01
9.482946814484598974e+00,9.231445199239268762e-01
9.499539897274598133e+00,9.243264509339981227e-01
9.516132980064597291e+00,9.288632147942151862e-01
9.532726062854596449e+00,9.296445617598720901e-01
9.549319145644595608e+00,9.331071070966456826e-01
9.565912228434594766e+00,9.353992903049336283e-01
9.582505311224593925e+00,9.386705549208790300e-01
9.599098394014593083e+00,9.404659214351268615e-01
9.615691476804592241e+00,9.414317813828856352e-01
9.632284559594591400e+00,9.426575156209483497e-01
9.648877642384590558e+00,9.448427986973777504e-01
