x,y
3.089730602503406232e+01,1.730961148588467724e+00
3.171304445949872886e+01,6.809958384010198706e+00
3.876969011354507444e-01,1.192874098597919819e+01
2.042892940061815921e+01,1.182582188476645513e+01
1.907902381879805986e+01,3.203355993086173470e+01
1.991889803839295681e+01,3.292129461554556258e+01
2.289741754159926312e+00,1.022900399734085752e+01
4.912438464969827834e+00,1.433210758749959624e+01
1.541093224107577164e+01,1.602917404606554186e+01
1.383849477586766596e+01,2.877996366328428834e+01
2.014584538883872966e+01,9.236958473933199798e+00
1.663026414330743918e+01,2.396419960857219422e+01
1.443796569618992720e+01,1.366554203417858915e+01
3.004785615807970345e+01,3.146283293924412661e+01
2.539170197358015457e+01,6.936751132768401717e-01
1.134331062835862802e+01,3.146859692838742006e+01
1.506045315136093632e-01,3.011153175510232316e+01
1.663717113039277384e+00,2.677279206179800397e+01
7.148152541957104589e+00,2.836044334535722022e+00
7.923131651714103718e+00,6.242096682323822421e+00
2.412061205992518254e+01,2.818979693661628971e+01
1.649423377957688075e+01,3.298486652340491787e+01
1.277252069407183832e+01,7.760972357332477145e+00
2.274268039248017459e+01,9.567504266308329619e+00
1.553167048155565055e+01,2.445329269934388261e+00
2.357815436462348657e+01,8.918726234396089581e+00
2.578765849007754696e+01,2.186054901892119062e+01
1.902101270276161316e+01,1.550664196814095419e+01
1.169319228945025202e+01,2.595824313760076407e+01
3.282473076284246361e+01,9.524608219235419782e+00
3.164828949936441260e-01,2.696706656306707472e+01
3.138927795303189328e+01,2.845529243617647452e+01
2.798502565215285287e+00,1.283595317369577948e+01
1.998507551766577706e+01,2.382847016704171139e+01
2.257207808984799779e+00,1.379658941191335231e+01
8.235537595952502343e+00,3.028881211553433772e+01
7.668376949765101536e+00,3.277689399493224442e+01
1.472988173071304630e+01,1.656403766879826600e+00
1.934789832640931806e+01,2.952207960396271602e+01
4.566390706861931825e+00,3.097357835487930089e+01
1.030069619054689056e+01,1.019294404457426495e+01
1.415502653065484040e+01,1.925926075317187269e+01
1.449787794802710295e+01,2.536244083096292812e+01
2.572068615097936117e+01,1.032896408113648512e+01
1.410114797896570948e+01,1.017497250904922268e+01
5.849723719094198415e+00,1.665648608338626602e+01
2.816056075305295181e+01,5.286628196108603683e-01
2.624743974043093431e+01,1.446689724267706900e+01
3.005221730041499839e+01,2.865572051581471413e+01
3.147213674528585159e+01,4.294654192069414123e+00
1.662054121577810761e+01,1.065516617782562214e+01
1.768892063042618545e+01,1.049564514709112473e+01
2.353862675390896442e+01,2.569135800130244007e+01
2.133393616796160330e+01,4.071188900411125466e+00
1.805928548471404227e+01,1.782522215877060745e+01
2.773560430146291012e+01,1.648047628693880640e+01
2.110554695073822629e+01,1.703771310250689197e+01
2.317814109721392057e+01,1.983409775711670164e+01
6.675442118751584886e+00,3.241853602341276996e+01
2.269239347985554645e+01,1.508940170374295420e+01
2.127384685353855787e+01,4.416092528180295962e-01
2.387016460455784639e+01,1.201958619837006381e+01
5.664408131828618131e+00,5.047079252704935293e+00
5.891769794737049537e+00,1.371092338527098242e+01
2.412545808534198244e+01,3.170231904356937847e+01
2.124395745723325035e+01,6.968705930220968625e+00
3.173735113206645408e+01,9.333840770771780981e+00
2.766967776150163161e+01,2.761457555645773354e+01
1.198223969673054690e+01,2.279918768519082306e+01
2.716546182278680277e+01,3.133586048560485438e+01
2.516818650410225899e+01,2.320155735021806365e+01
5.623465905429846146e+00,2.009759994592170074e+01
7.491115441660041618e+00,1.160113400634082303e+01
1.101841226721707301e+01,2.348753429681803695e+01
1.695776071301665411e+01,1.328451329409545245e+01
1.705680582518521859e+01,3.054439599027083574e+01
2.796046908231361172e+01,3.348111286788454155e+00
1.310082063704197353e+01,1.929137563112635689e+01
4.951579587350299683e+00,1.133190677095316090e+01
7.099031281211730438e+00,2.990291051523594845e+01
2.829632484599113695e+01,2.135164255481882378e+01
1.828913907020821483e+01,2.186605602809898841e+01
1.192827624753823734e+01,7.407906346439281364e-01
3.885772261058077159e+00,7.062486763636286469e+00
1.225987328021466460e+01,2.683434636310972365e+01
3.121835118468903936e+00,1.879431895976180300e+01
