x,y
2.492526972302240296e+01,3.872532042060780610e-01
1.318437974689469883e+01,1.712699472385248001e+01
1.814729382266654056e+01,6.040706108739927416e+00
1.613038980116562371e+01,4.255971878401472175e+00
2.208317672440697521e+01,9.835490407047645434e+00
4.450906670909421159e+00,2.139284439414752725e+01
1.319304359862348619e+01,1.116799513096129459e+00
2.460857762182853126e+00,4.489597138127337850e+00
2.123541596070035453e+01,2.512448806223121522e+01
2.470857268628812164e+01,1.011274245461743071e+01
4.899069984922922671e+00,3.515611078238294773e+00
1.914397219051830135e+01,2.676658781244433882e+01
2.743626673004266792e+01,5.131015244148633414e-01
2.765416435737897771e+01,5.990753544146232734e+00
2.121401695882415694e+01,1.221565568820690295e+01
1.635841887699401198e+01,1.342992498586339956e+01
2.110210248296190017e+01,1.842525906308358685e+01
2.938684012750710561e+00,1.258140359703355138e+01
1.911558766328487025e+01,1.676872843343236852e+01
2.265684784252455586e+01,1.232972345712882856e+01
1.257555703396595170e+01,3.715850669004163720e+00
7.117983272435412623e+00,1.548739161383264396e+01
1.394321413716329161e+01,1.426349376700725635e+01
7.425220581791411867e+00,2.854103865093795989e+01
2.421217882214904904e+01,1.729897288255875765e+01
2.709497184630869526e+01,2.733047678457663210e+01
1.236744804010772469e+01,9.294482147445680909e+00
2.800542461174126529e+01,9.591781576285882238e+00
9.325030384003911266e+00,7.731964836602327473e+00
2.164169481501651759e+01,5.186364466079927737e+00
1.469907548364926697e+01,2.333492988915910615e+01
1.172606677351226701e+01,6.830853119379342253e+00
1.828228460661390997e+01,2.930865752974128924e+01
5.490775287304838770e-01,1.715102932319675588e+01
1.385926281317297182e+01,2.225127487022465544e+01
1.598276492862015097e+01,2.827031051767476910e+01
8.786654590111325547e+00,2.309581052294663905e+01
2.891713949595024502e+01,8.349914338547218762e+00
1.770774884688828621e+01,1.110021538924804929e+01
2.183385177005093070e+01,6.459710543192943355e+00
1.606208976214368889e+01,1.079327282660846166e+01
1.986016232487810029e+01,2.270469909599663794e+01
1.109096029404554784e+01,9.748145077868691999e+00
2.308525890027583927e+01,1.496887629023001409e+01
1.665385636339989972e+01,1.593623876016918572e+01
2.267578050784503585e+00,1.903076895282694991e+01
2.821812838036868953e+01,1.501298594733317771e+01
1.170204019503879067e+01,2.351726279723998303e+01
9.935674812018291391e+00,2.532147581691237193e+01
8.879861454753839922e+00,1.754397685984350730e+01
9.901490026371167374e+00,2.791172794188621253e+01
1.152856426342699692e+00,1.042348772998233741e+01
9.382333021048484767e+00,1.656775417998573019e+01
5.714157813982504441e-01,2.910908773072209499e+01
1.806309593937158176e-01,2.652952319789783786e+01
8.039813291351454172e-01,2.594831986480539143e+00
1.180036719587273453e+01,1.761304032770847172e+01
1.357063490741533229e+01,1.162621160808408227e+01
2.228880958333648010e+01,8.173891120993204140e-03
2.679330299525886616e+01,7.024040107703801716e+00
5.132622999755065862e+00,2.689560242596330042e+01
2.905120239438149810e+01,1.802900543797288435e+01
1.498829814655683990e+01,1.114131330844602630e+01
1.014898812021343133e+01,1.292059389158023741e+01
8.738740449846995162e+00,1.080936002202597379e+01
1.813520440156574320e+00,2.853026710901525931e+01
1.230934985179981211e+01,2.437367979221362191e+01
1.926532650360033827e+01,1.387129358897120568e+01
6.576562943692930041e+00,1.654101024211464477e+01
5.460160226717627019e+00,1.879185453736421252e+01
2.406147335183533897e+01,2.428275595331336234e+01
1.143369918267371332e+01,1.508193189428694758e+01
7.398629514980209265e+00,1.144311464181324567e+01
1.358418031377840229e+01,9.056160877925023556e+00
2.112075822688481708e+01,2.839503776278232294e+01
2.051684996542671513e+01,1.736632101445071541e+01
3.021158357620699508e+00,1.409940965845607685e+00
2.032127776233249250e+00,1.917913824938592082e+00
1.451460481362189858e+00,2.003652630927105704e+01
1.991504041069127240e+01,8.587998676541584331e+00
1.115839329203520158e+01,1.252832350928920491e+01
1.486894554540184110e+01,2.461451294033131632e+01
1.045365467894349898e+01,2.877698669632155415e+01
6.073115200801345814e+00,1.779316710662580903e+01
6.304833624288131766e+00,2.618226657697633186e+01
1.423421168194112774e+01,1.686443958577153168e+01
1.812148539859425256e+01,1.627394044350573665e+01
1.555178016568631172e+01,1.620766543008719651e+01
3.035991220857225947e+00,7.471291643555813877e+00
2.041745712952076275e+01,1.462816495305655451e+01
1.785761765277530699e+01,2.449621441820533718e+01
8.652742845562501728e+00,2.654785270309001355e+00
2.367197435080578316e+01,2.558446653744434585e+00
2.158343021861410094e+01,1.723523495328562660e+01
8.737836273797524811e+00,5.215377241991132173e+00
3.672191754331699531e+00,1.010510344542188221e+01
2.529994467105309752e+01,1.355072502954054414e+01
1.794170294582668035e+01,1.378022096184075451e+01
2.174765104203379451e+01,2.085992421796574803e+01
1.704309986216365047e+01,1.855444493418730190e+01
1.877414644381173403e+01,1.135598792813904012e+01
1.518596532284570166e+01,1.373149309668641749e+01
1.483891838007561681e+01,8.602966815720645144e+00
2.623236798883791110e+01,3.554176298487148333e+00
2.286457798340715897e+01,2.320837609982550731e+01
5.125377565425152326e+00,6.050122587004290509e+00
2.329215856255738260e+01,9.886589034660744346e+00
7.737572746521353295e+00,1.990094869476570238e+01
1.117383049250553384e+01,2.450620570093808226e+01
6.670699590806442592e-01,1.140256932532641443e+01
3.660359698004637341e+00,1.134666594151481078e+01
7.011467717643730113e-01,2.337207702084876715e+01
2.654492748107760036e+01,1.845754472804753021e+01
1.278239059839648206e+01,1.459293118170281112e+01
1.122394055768253196e+01,4.319265650660998546e+00
2.877824987097670117e+01,1.369410831471177659e+01
2.671815956420046234e+01,1.945598362859413299e+01
2.145942973729760084e+01,1.987527716927134946e+01
2.171922161246121874e+01,1.473560501086293684e+01
8.902189810931140812e+00,2.561945547444977223e+01
4.140741468887542354e+00,1.565746198151523494e+01
9.528139139221394771e+00,2.642279877884786998e+01
2.222714617836166084e+01,2.599272445950623123e+01
2.566515966946840521e+01,1.072868764826897525e+01
2.763320800017856982e+01,1.592875367213165383e+01
1.838567485438677451e+01,8.622400552693418874e+00
1.298611579722269838e+01,6.183570700601663361e+00
1.726059771485268968e+01,2.354634334888012503e+01
