r,g_r
7.327629772006864252e-03,0.000000000000000000e+00
2.198288931602059362e-02,0.000000000000000000e+00
3.663814886003432386e-02,0.000000000000000000e+00
5.129340840404805063e-02,0.000000000000000000e+00
6.594866794806178434e-02,0.000000000000000000e+00
8.060392749207551111e-02,0.000000000000000000e+00
9.525918703608923788e-02,0.000000000000000000e+00
1.099144465801029646e-01,0.000000000000000000e+00
1.245697061241166914e-01,0.000000000000000000e+00
1.392249656681304182e-01,0.000000000000000000e+00
1.538802252121441727e-01,0.000000000000000000e+00
1.685354847561578717e-01,0.000000000000000000e+00
1.831907443001716262e-01,0.000000000000000000e+00
1.978460038441853253e-01,0.000000000000000000e+00
2.125012633881990798e-01,0.000000000000000000e+00
2.271565229322127788e-01,0.000000000000000000e+00
2.418117824762265333e-01,0.000000000000000000e+00
2.564670420202402878e-01,0.000000000000000000e+00
2.711223015642539869e-01,0.000000000000000000e+00
2.857775611082676859e-01,0.000000000000000000e+00
3.004328206522814404e-01,0.000000000000000000e+00
3.150880801962951949e-01,0.000000000000000000e+00
3.297433397403088939e-01,0.000000000000000000e+00
3.443985992843225930e-01,0.000000000000000000e+00
3.590538588283363475e-01,0.000000000000000000e+00
3.737091183723501020e-01,0.000000000000000000e+00
3.883643779163638010e-01,0.000000000000000000e+00
4.030196374603775000e-01,0.000000000000000000e+00
4.176748970043912546e-01,0.000000000000000000e+00
4.323301565484050091e-01,0.000000000000000000e+00
4.469854160924187081e-01,0.000000000000000000e+00
4.616406756364324071e-01,0.000000000000000000e+00
4.762959351804462171e-01,0.000000000000000000e+00
4.909511947244599162e-01,0.000000000000000000e+00
5.056064542684736152e-01,0.000000000000000000e+00
5.202617138124874252e-01,0.000000000000000000e+00
5.349169733565011242e-01,0.000000000000000000e+00
5.495722329005148232e-01,0.000000000000000000e+00
5.642274924445285222e-01,0.000000000000000000e+00
5.788827519885422213e-01,0.000000000000000000e+00
5.935380115325560313e-01,0.000000000000000000e+00
6.081932710765697303e-01,0.000000000000000000e+00
6.228485306205834293e-01,0.000000000000000000e+00
6.375037901645972394e-01,0.000000000000000000e+00
6.521590497086109384e-01,0.000000000000000000e+00
6.668143092526246374e-01,0.000000000000000000e+00
6.814695687966383364e-01,0.000000000000000000e+00
6.961248283406520354e-01,0.000000000000000000e+00
7.107800878846658454e-01,0.000000000000000000e+00
7.254353474286795445e-01,0.000000000000000000e+00
7.400906069726933545e-01,0.000000000000000000e+00
7.547458665167070535e-01,0.000000000000000000e+00
7.694011260607207525e-01,0.000000000000000000e+00
7.840563856047344515e-01,0.000000000000000000e+00
7.987116451487481505e-01,0.000000000000000000e+00
8.133669046927619606e-01,0.000000000000000000e+00
8.280221642367756596e-01,0.000000000000000000e+00
8.426774237807893586e-01,0.000000000000000000e+00
8.573326833248031686e-01,0.000000000000000000e+00
8.719879428688168677e-01,0.000000000000000000e+00
8.866432024128305667e-01,0.000000000000000000e+00
9.012984619568442657e-01,0.000000000000000000e+00
9.159537215008579647e-01,0.000000000000000000e+00
9.306089810448717747e-01,0.000000000000000000e+00
9.452642405888854737e-01,0.000000000000000000e+00
9.599195001328992838e-01,0.000000000000000000e+00
9.745747596769129828e-01,0.000000000000000000e+00
9.892300192209266818e-01,0.000000000000000000e+00
1.003885278764940381e+00,1.762145685972399844e+00
1.018540538308954080e+00,2.224574820571764810e+00
1.033195797852967779e+00,2.143495342135930404e+00
1.047851057396981478e+00,2.064176662226466341e+00
1.062506316940995399e+00,2.003318260832767539e+00
1.077161576485009098e+00,1.932280805640718135e+00
1.091816836029022797e+00,1.866070814660620858e+00
1.106472095573036496e+00,1.806026379268098614e+00
1.121127355117050195e+00,1.742129896250636856e+00
1.135782614661063894e+00,1.683801632482543775e+00
1.150437874205077593e+00,1.631960269911529426e+00
1.165093133749091514e+00,1.572920735210081133e+00
1.179748393293105213e+00,1.527345891918069798e+00
1.194403652837118912e+00,1.480874762919248022e+00
1.209058912381132611e+00,1.440463894231429398e+00
1.223714171925146310e+00,1.399313132230620482e+00
1.238369431469160009e+00,1.358813296480255506e+00
1.253024691013173708e+00,1.329396705586365135e+00
1.267679950557187407e+00,1.289935027061399175e+00
1.282335210101201328e+00,1.266869563671122245e+00
1.296990469645215027e+00,1.239475246173042056e+00
1.311645729189228726e+00,1.215831947760390497e+00
1.326300988733242425e+00,1.202813781382089608e+00
1.340956248277256124e+00,1.179371037726497207e+00
1.355611507821269823e+00,1.171138121524058162e+00
1.370266767365283522e+00,1.163567184138308175e+00
1.384922026909297443e+00,1.154847938288907860e+00
1.399577286453311142e+00,1.151763692815598317e+00
1.414232545997324841e+00,1.152102083087930273e+00
1.428887805541338540e+00,1.160901946174855093e+00
1.443543065085352239e+00,1.169535541076910157e+00
1.458198324629365938e+00,1.186600904212538721e+00
1.472853584173379637e+00,1.198362417502568222e+00
1.487508843717393336e+00,1.221499103791340968e+00
1.502164103261407258e+00,1.231732680887747566e+00
1.516819362805420957e+00,1.166932038940163840e+00
1.531474622349434656e+00,1.060011763033277710e+00
1.546129881893448355e+00,9.484043963992625503e-01
1.560785141437462054e+00,8.373894441138202138e-01
1.575440400981475753e+00,7.313203686827847161e-01
1.590095660525489452e+00,6.315906521897768355e-01
1.604750920069503373e+00,5.407316952820264699e-01
1.619406179613517072e+00,4.615630467769777368e-01
1.634061439157530771e+00,3.884570490909196039e-01
1.648716698701544470e+00,3.280498857588932116e-01
1.663371958245558169e+00,2.772310278219003998e-01
1.678027217789571868e+00,2.344789049587454044e-01
1.692682477333585567e+00,1.958059426067244591e-01
1.707337736877599266e+00,1.650643046527374980e-01
1.721992996421613187e+00,1.392029001630520901e-01
1.736648255965626886e+00,1.178317119131715857e-01
1.751303515509640585e+00,1.001356553883840095e-01
1.765958775053654284e+00,8.460988480711785498e-02
1.780614034597667983e+00,7.203245311126556250e-02
1.795269294141681682e+00,6.108223801224213489e-02
1.809924553685695381e+00,5.170156702916169078e-02
1.824579813229709302e+00,4.498820632025477689e-02
1.839235072773723001e+00,3.869674263833183109e-02
1.853890332317736700e+00,3.345650787904883711e-02
1.868545591861750399e+00,2.886888419673737383e-02
1.883200851405764098e+00,2.506448834523008345e-02
1.897856110949777797e+00,2.184269476898560713e-02
1.912511370493791496e+00,1.946485686841730248e-02
1.927166630037805195e+00,1.638422074539177056e-02
1.941821889581819116e+00,1.467540703939275090e-02
1.956477149125832815e+00,1.293878423947208631e-02
1.971132408669846514e+00,1.165511172846045961e-02
1.985787668213860213e+00,1.056328388641682679e-02
2.000442927757873690e+00,9.648637253289757063e-03
2.015098187301887833e+00,8.695438997004412834e-03
2.029753446845901088e+00,7.895739929112955552e-03
2.044408706389915231e+00,7.301732156187311362e-03
2.059063965933928486e+00,6.391390648475601607e-03
2.073719225477942629e+00,6.072677766437218662e-03
2.088374485021955884e+00,5.714120376484469951e-03
2.103029744565970027e+00,5.089409079164238132e-03
2.117685004109984170e+00,4.497311167009150797e-03
2.132340263653997425e+00,4.299786822687824868e-03
2.146995523198011568e+00,3.817111317731600346e-03
2.161650782742024823e+00,3.311976600162625222e-03
2.176306042286038966e+00,3.101731567026233191e-03
2.190961301830052221e+00,2.751219414924728750e-03
2.205616561374066364e+00,2.532604585461268806e-03
2.220271820918079619e+00,2.214680427911617719e-03
2.234927080462093762e+00,2.047870134640280941e-03
2.249582340006107017e+00,1.852708695192481925e-03
2.264237599550121161e+00,1.635020878158282252e-03
2.278892859094134415e+00,1.416202647314429358e-03
2.293548118638148559e+00,1.327748841538530173e-03
2.308203378182161813e+00,1.195147519324739598e-03
2.322858637726175957e+00,1.070645845566556504e-03
2.337513897270190100e+00,9.987945569734392719e-04
2.352169156814203355e+00,8.783369619506314159e-04
2.366824416358217498e+00,7.782923087074631111e-04
2.381479675902230753e+00,7.070593016424729432e-04
2.396134935446244896e+00,6.578793684356365945e-04
2.410790194990258151e+00,5.832907725911396987e-04
2.425445454534272294e+00,5.366839313638970682e-04
2.440100714078285549e+00,4.992016665484201978e-04
2.454755973622299692e+00,4.378423747865396666e-04
2.469411233166312947e+00,3.868834699729374409e-04
2.484066492710327090e+00,3.737840692980678244e-04
2.498721752254340345e+00,3.044717960739642404e+00
2.513377011798354488e+00,6.903472442315483626e+00
2.528032271342367743e+00,6.291001450950592933e+00
2.542687530886381886e+00,5.732147620235962471e+00
2.557342790430396029e+00,5.226160778894954007e+00
2.571998049974409284e+00,4.753869893977926253e+00
2.586653309518423427e+00,4.341095583716344741e+00
2.601308569062436682e+00,3.958286118774779538e+00
