chain,temperature,mean_energy,mean_energy_per_particle,energy_fluctuation,heat_capacity_over_k,heat_capacity_per_particle,acceptance_rate,unfavorable_accepted,energy_discrepancy,max_displacement,production_steps,accepted_moves,tracked_energy,recalculated_energy
0,0.25,351.75493999999998,1.4070197599999998,39.708645596416318,635.33832954266109,2.5413533181706445,0.27058858000000002,302787,0,0.32000000000000006,50000000,13529429,345,345
0,0.23999999999999999,345.5668,1.3822672,36.90857775999757,640.77391944440228,2.5630956777776093,0.32767239999999997,264327,0,0.25600000000000006,50000000,16383620,340,340
0,0.23000000000000001,338.40737999999999,1.3536295199999999,35.683661535615101,674.54936740293192,2.6981974696117277,0.313531,221831,0,0.25600000000000006,50000000,15676550,353,353
0,0.22,330.49349333333333,1.3219739733333333,39.070690996624762,807.24568174844558,3.2289827269937823,0.30018766000000002,550618,0,0.25600000000000006,150000000,45028149,323,323
0,0.20999999999999999,322.27453333333335,1.2890981333333333,38.808751448872499,880.01703965697288,3.5200681586278915,0.28641142666666669,445684,0,0.25600000000000006,150000000,42961714,320,320
0,0.20499999999999999,318.26751333333334,1.2730700533333335,49.086749949812656,1168.0368816136267,4.6721475264545074,0.28020859999999997,399100,0,0.25600000000000006,150000000,42031290,329,329
0,0.20300000000000001,315.91162666666668,1.2636465066666667,50.025603487272747,1213.948493952116,4.8557939758084636,0.27656938666666664,381320,0,0.25600000000000006,150000000,41485408,317,317
0,0.20100000000000001,313.6524,1.2546096,42.494440906666568,1051.8165616362605,4.2072662465450419,0.27323306666666669,363595,0,0.25600000000000006,150000000,40984960,307,307
0,0.19900000000000001,309.81984999999997,1.2392793999999998,62.524482644177624,1578.8612066406813,6.3154448265627252,0.26882007666666669,694347,0,0.25600000000000006,300000000,80646023,320,320
0,0.19700000000000001,308.72246000000001,1.2348898400000001,55.718798215064453,1435.7184729074299,5.7428738916297197,0.26623238999999999,661442,0,0.25600000000000006,300000000,79869717,302,302
0,0.19500000000000001,301.36554333333333,1.2054621733333333,96.664941404786077,2542.1417857931906,10.168567143172762,0.25925708666666669,632993,0,0.25600000000000006,300000000,77777126,300,300
0,0.193,282.91066333333333,1.1316426533333332,157.24728229331959,4221.5168808107483,16.886067523242993,0.31338882000000001,639584,0,0.20480000000000007,300000000,94016646,267,267
0,0.191,287.9205,1.1516820000000001,257.82280641666148,7067.3174095189679,28.269269638075873,0.31753568999999998,599631,0,0.20480000000000007,300000000,95260707,270,270
0,0.189,264.14900666666665,1.0565960266666665,23.548590346632409,659.23659322618084,2.6369463729047236,0.29645004333333336,582367,0,0.20480000000000007,300000000,88935013,264,264
0,0.187,265.93007333333333,1.0637202933333334,44.048630261298968,1259.6479813920605,5.0385919255682419,0.29641969333333335,549821,0,0.20480000000000007,300000000,88925908,268,268
0,0.185,270.67191666666668,1.0826876666666667,45.066711326391669,1316.7775405812029,5.2671101623248111,0.29783340000000003,520949,0,0.20480000000000007,300000000,89350020,260,260
0,0.183,261.30079000000001,1.04520316,17.40822870923148,519.81930512202462,2.0792772204880983,0.29324736000000001,490622,0,0.20480000000000007,300000000,87974208,274,274
0,0.18099999999999999,259.45136000000002,1.0378054400000001,13.434814150401508,410.08559416383832,1.6403423766553533,0.28984332000000002,462977,0,0.20480000000000007,300000000,86952996,255,255
0,0.17899999999999999,258.87791666666669,1.0355116666666668,12.240672326370259,382.03153229831338,1.5281261291932535,0.28934467000000003,434032,0,0.20480000000000007,300000000,86803401,258,258
0,0.17699999999999999,258.12568666666664,1.0325027466666665,9.5240161951660411,304.00000622956503,1.2160000249182601,0.28934518333333331,407431,0,0.20480000000000007,300000000,86803555,255,255
0,0.17499999999999999,257.72667000000001,1.03090668,10.588860711082816,345.75871709658179,1.3830348683863272,0.28737850333333331,383901,0,0.20480000000000007,300000000,86213551,257,257
0,0.16500000000000001,254.84934666666666,1.0193973866666666,6.0073169064926333,220.65443182709396,0.88261772730837584,0.28207592666666664,136108,0,0.20480000000000007,150000000,42311389,255,255
0,0.155,253.02995333333334,1.0121198133333333,3.7652427978246124,156.72186463369874,0.62688745853479499,0.27871202,93141,0,0.20480000000000007,150000000,41806803,256,256
0,0.14999999999999999,252.13429333333335,1.0085371733333335,2.8135786339480546,125.04793928658022,0.50019175714632091,0.27627030000000002,74652,0,0.20480000000000007,150000000,41440545,252,252
1,0.25,351.94074000000001,1.4077629600000001,39.561468252388295,632.98349203821272,2.5319339681528508,0.27026600000000001,302700,0,0.32000000000000006,50000000,13513300,358,358
1,0.23999999999999999,345.62849999999997,1.3825139999999998,37.170247750007547,645.31680121540887,2.5812672048616356,0.32673624000000001,264869,0,0.25600000000000006,50000000,16336812,341,341
1,0.23000000000000001,338.52600000000001,1.354104,38.554323999996996,728.81519848765583,2.9152607939506234,0.31419133999999999,222045,0,0.25600000000000006,50000000,15709567,336,336
1,0.22,331.16133333333335,1.3246453333333335,35.866291555546923,741.03908172617616,2.9641563269047047,0.30072352000000002,549505,0,0.25600000000000006,150000000,45108528,329,329
1,0.20999999999999999,322.29862000000003,1.2891944800000001,42.265872762262006,958.40981320322021,3.8336392528128806,0.28655875333333336,446112,0,0.25600000000000006,150000000,42983813,317,317
1,0.20499999999999999,318.18178,1.2727271200000001,41.870696031604894,996.3282815372969,3.9853131261491876,0.27970112000000003,399034,0,0.25600000000000006,150000000,41955168,319,319
1,0.20300000000000001,315.78617333333335,1.2631446933333335,47.321024823279004,1148.317717568468,4.593270870273872,0.27617211333333336,381159,0,0.25600000000000006,150000000,41425817,322,322
1,0.20100000000000001,312.79766000000001,1.2511906400000001,46.859131857738248,1159.8507922511383,4.6394031690045532,0.27221037999999997,365438,0,0.25600000000000006,150000000,40831557,309,309
1,0.19900000000000001,312.45166999999998,1.2498066799999998,43.843317544451565,1107.1265257051984,4.4285061028207942,0.27043582999999999,692209,0,0.25600000000000006,300000000,81130749,306,306
1,0.19700000000000001,308.28040666666669,1.2331216266666667,54.201552101265406,1396.6232601011468,5.5864930404045872,0.33756159000000002,676947,0,0.20480000000000007,300000000,101268477,311,311
1,0.19500000000000001,303.98239333333333,1.2159295733333333,73.380350005289074,1929.7922420851826,7.7191689683407301,0.33254556000000002,647150,0,0.20480000000000007,300000000,99763668,314,314
1,0.193,302.53609333333333,1.2101443733333332,65.806043937947834,1766.6526333041913,7.0666105332167657,0.33079392000000002,615450,0,0.20480000000000007,300000000,99238176,306,306
1,0.191,293.28012999999999,1.1731205199999999,140.4487371831201,3849.9146729289246,15.399658691715699,0.32039192999999999,593171,0,0.20480000000000007,300000000,96117579,287,287
1,0.189,283.18451333333331,1.1327380533333333,143.56617482982983,4019.0973049419058,16.076389219767623,0.31058894333333331,570639,0,0.20480000000000007,300000000,93176683,293,293
1,0.187,272.43680666666666,1.0897472266666666,135.25556660263101,3867.8705883105322,15.471482353242129,0.30366844999999998,547846,0,0.20480000000000007,300000000,91100535,272,272
1,0.185,266.18830666666668,1.0647532266666666,35.738440599277965,1044.2203243032277,4.176881297212911,0.29474185000000003,525306,0,0.20480000000000007,300000000,88422555,261,261
1,0.183,261.96267333333333,1.0478506933333334,28.751486719964305,858.53524201870187,3.4341409680748076,0.29300028333333333,489318,0,0.20480000000000007,300000000,87900085,257,257
1,0.18099999999999999,259.25374666666664,1.0370149866666665,11.815119295832119,360.64586843600989,1.4425834737440395,0.29022848000000001,462309,0,0.20480000000000007,300000000,87068544,259,259
1,0.17899999999999999,258.83491333333336,1.0353396533333334,11.306233059134684,352.86767139398529,1.4114706855759411,0.28955920666666668,435209,0,0.20480000000000007,300000000,86867762,260,260
1,0.17699999999999999,258.25109333333336,1.0330043733333334,10.931925471275463,348.93949603483878,1.395757984139355,0.28861987333333333,409183,0,0.20480000000000007,300000000,86585962,262,262
1,0.17499999999999999,257.70899666666668,1.0308359866666668,9.6669137266435428,315.65432576795246,1.2626173030718097,0.28752720666666665,382742,0,0.20480000000000007,300000000,86258162,254,254
1,0.16500000000000001,254.64303333333334,1.0185721333333333,5.7545947988837725,211.37170978452789,0.84548683913811162,0.28105972666666668,136613,0,0.20480000000000007,150000000,42158959,251,251
1,0.155,252.90938666666668,1.0116375466666667,3.8311358904829831,159.46455319388068,0.63785821277552268,0.27779769333333332,92415,0,0.20480000000000007,150000000,41669654,256,256
1,0.14999999999999999,252.33627333333334,1.0093450933333334,3.1935135786188766,141.93393682750565,0.56773574731002263,0.27613655333333331,74900,0,0.20480000000000007,150000000,41420483,251,251
2,0.25,352.09866,1.40839464,41.018246204403113,656.2919392704498,2.6251677570817993,0.27054758000000001,302483,0,0.32000000000000006,50000000,13527379,357,357
2,0.23999999999999999,345.46789999999999,1.3818716,37.467169590017875,650.47169427114363,2.6018867770845744,0.32720236000000003,264660,0,0.25600000000000006,50000000,16360118,346,346
2,0.23000000000000001,338.15197999999998,1.3526079199999999,39.592362079609302,748.43784649544989,2.9937513859817995,0.31330348000000002,222822,0,0.25600000000000006,50000000,15665174,339,339
2,0.22,331.02384666666666,1.3240953866666667,37.930144669822766,783.68067499633821,3.1347226999853528,0.30075746666666664,553338,0,0.25600000000000006,150000000,45113620,340,340
2,0.20999999999999999,322.07664,1.2883065600000001,42.135619643740938,955.45622774922776,3.8218249109969111,0.28597815999999998,446810,0,0.25600000000000006,150000000,42896724,340,340
2,0.20499999999999999,318.97719999999998,1.2759087999999998,37.409120160024031,890.16347793037562,3.5606539117215026,0.28022162666666667,397749,0,0.25600000000000006,150000000,42033244,310,310
2,0.20300000000000001,315.09505333333334,1.2603802133333333,54.25337819714332,1316.5419737713441,5.2661678950853767,0.27518408666666666,380647,0,0.25600000000000006,150000000,41277613,299,299
2,0.20100000000000001,313.11869333333334,1.2524747733333335,44.850885225954698,1110.1429475991854,4.4405717903967412,0.27262824666666668,364448,0,0.25600000000000006,150000000,40894237,316,316
2,0.19900000000000001,310.31840333333332,1.2412736133333333,52.918575984003837,1336.2939315674814,5.3451757262699253,0.26901417666666666,694738,0,0.25600000000000006,300000000,80704253,303,303
2,0.19700000000000001,301.9307,1.2077228,115.85113084332261,2985.1614533567626,11.94064581342705,0.26176200666666666,669342,0,0.25600000000000006,300000000,78528602,305,305
2,0.19500000000000001,303.65357999999998,1.2146143199999999,68.680106516942033,1806.1829458761874,7.2247317835047493,0.26119463666666665,633381,0,0.25600000000000006,300000000,78358391,307,307
2,0.193,304.47124666666667,1.2178849866666668,48.436819912472856,1300.3522218709993,5.2014088874839972,0.33151519666666668,612206,0,0.20480000000000007,300000000,99454559,306,306
2,0.191,301.22818999999998,1.20491276,62.592792657233076,1715.7641692177592,6.8630566768710368,0.32725045666666669,585341,0,0.20480000000000007,300000000,98175137,294,294
2,0.189,279.38671666666664,1.1175468666666666,89.306340219729464,2500.1075059413079,10.000430023765231,0.30946698666666667,580861,0,0.20480000000000007,300000000,92840096,293,293
2,0.187,285.14909333333333,1.1405963733333333,74.461057844629977,2129.3447866576103,8.5173791466304412,0.31392998,546140,0,0.20480000000000007,300000000,94178994,271,271
2,0.185,261.92799666666667,1.0477119866666667,19.547618853306631,571.1502952025312,2.284601180810125,0.29518213666666665,534586,0,0.20480000000000007,300000000,88554641,261,261
2,0.183,260.25959,1.0410383599999999,16.128243031897,481.59822723571921,1.9263929089428768,0.29344901000000001,504108,0,0.20480000000000007,300000000,88034703,254,254
2,0.18099999999999999,260.86918333333335,1.0434767333333335,17.852910333036561,544.94399844438703,2.179775993777548,0.29327031666666664,474820,0,0.20480000000000007,300000000,87981095,258,258
2,0.17899999999999999,259.97949333333332,1.0399179733333332,18.046739476631046,563.23895872884884,2.2529558349153955,0.29251149333333332,445916,0,0.20480000000000007,300000000,87753448,253,253
2,0.17699999999999999,257.64998333333335,1.0305999333333333,10.323284999700263,329.51211336781461,1.3180484534712584,0.29000689000000002,419163,0,0.20480000000000007,300000000,87002067,259,259
2,0.17499999999999999,257.55273999999997,1.0302109599999998,11.987958492420148,391.44354260963752,1.5657741704385502,0.29003716000000002,393814,0,0.20480000000000007,300000000,87011148,257,257
2,0.16500000000000001,254.66635333333332,1.0186654133333333,5.2842865684942808,194.09684365451901,0.77638737461807605,0.28624699999999997,140063,0,0.20480000000000007,150000000,42937050,256,256
2,0.155,253.06764666666666,1.0122705866666666,3.3975372618297115,141.41674346845832,0.56566697387383325,0.28353857333333332,95489,0,0.20480000000000007,150000000,42530786,252,252
