x,y
4.231256215899109918e+01,1.970096417909068975e+01
2.993098800921554226e+00,4.830020964485598967e+01
3.655011145801955053e+01,4.583355372931509741e+00
2.698380520136383609e+01,2.170353667192055269e+01
8.300534229569892730e+00,2.159097313699473730e+01
3.265111965981120790e+01,3.022324110896903449e+01
2.224542983556741049e+01,8.039899074704356607e+00
4.682547872922800281e+01,1.666577538321675434e+01
8.125277688398595544e+00,4.167787152658391392e+01
4.331706536406209551e+01,3.564433918327181772e+01
5.817955696737469040e-01,1.720776016616217419e+01
3.088688699951531902e+01,3.679690471470781432e+01
3.647609448251738229e+01,3.083423167473767279e+01
2.624680505707038236e+01,4.269959880911030581e+01
3.682123907513773986e+01,1.299777814869486470e+01
2.531600269798392944e+01,3.336585423660469019e+01
1.041850784389319884e+01,4.532477437023727518e+00
2.372399531365055481e+01,4.120040851238024437e+00
1.253211056615310959e+01,4.045854248416871712e+01
4.268279815139283784e+01,3.009589742064138917e+01
4.160043615266139483e+01,3.301682726495096887e+01
1.208472791368336097e+01,4.688135185247961800e+01
1.515382061925271273e+01,2.098592797956398925e+01
2.336352360098870307e+01,4.571281998683199532e+01
4.908681910215921107e+01,2.430586124251161451e+01
4.368347666175947808e+01,1.466872223054570767e+00
4.012357718191123013e+01,2.626022715387370354e+01
2.097161520940067803e+01,2.243162550021303758e+01
3.658004194028155354e+01,1.840527828412055555e+01
1.349117233822650341e+01,1.305997649560783103e+01
4.247048794656427617e+01,3.989275672423824304e+00
1.742026998928671233e+01,3.719921929050425291e+00
2.014240849052666249e+01,4.736808384050341658e+01
7.616113874055839617e+00,9.399871740839083056e-01
1.005540318308106684e+01,1.014680315033049141e+01
3.484697573951910243e+01,4.898365312685784545e+01
9.877337721021575589e+00,7.141657241725274829e+00
2.109621469512497782e+01,3.283445910698516457e+01
2.927627771959275194e+01,1.563127936010333485e+01
9.908230545740469353e+00,3.819089821606088719e+01
2.506961246789945719e+01,3.023135957855233258e+01
1.513191037155882057e+01,3.156551352076376915e+01
3.007464156356984830e+01,1.122545917901784129e+01
4.948983736451496895e+01,4.521789929930793051e+01
7.548461260511841964e+00,1.091680603571930952e+01
2.090022901880145056e+01,2.541792588955629739e+01
2.943361499600657538e+01,4.315934315908308605e+01
1.214981249806871233e+01,1.877477019916707590e+01
4.702389866181876243e+01,3.334056442827242250e+01
5.171524149249633773e+00,2.249986254220429416e+01
4.827362875776238127e+00,3.264971483250651829e+01
2.497838427746671286e+01,1.252911045581761407e+01
3.279490438909979844e+01,3.315803002252920795e+00
2.688934746176075308e+01,1.450673956115744367e+01
3.717547015106202224e+01,2.467663707774422122e+01
7.604271593023533171e+00,3.798336860636522871e+00
3.950513976983275999e+00,8.109862069311949639e+00
2.715891699510624591e+01,1.907459904462787348e+00
3.742788405267328500e+01,3.855282207500459890e+01
3.914864145206727386e+01,1.490230178523486693e+01
5.386440246341576810e+00,4.617201272442724758e+01
5.287499934017205749e-01,3.650768109997134303e+01
3.835555485142801047e+01,2.892690665423931407e+01
4.999897202058638612e+01,8.264962158963660599e+00
3.908454869669299114e+01,3.136848731402886514e+01
1.462737246796473478e+01,2.814544622974341337e+01
2.953612125022092583e-01,2.935989176275275270e+01
4.256269920347217095e+01,2.542489578520929427e+01
4.320931532547957943e+01,4.072433918601034719e+01
5.054531442043095346e+00,4.274100045918554258e+01
4.764682672105472250e+01,1.028702665834863694e+01
4.486878645145315403e+01,2.401345765117440223e+01
2.247787587210892823e+01,3.057154337065010807e+01
3.949618463475557206e+01,7.111538665379441682e+00
4.710434521378497408e+01,2.616354225000522504e+01
4.956095034685222345e+01,3.175158577523415104e+01
1.638448820737632428e+00,2.319093748445403591e+01
2.559601303733036293e+00,4.541144017923262055e+01
9.096885084917667896e+00,4.697967497789363733e+01
1.301378049931067871e+01,3.040635429919963162e+00
1.070034628106703778e+01,4.239748755522902002e+01
1.799224854704564081e+01,2.059607667658556807e+01
4.579941439708842665e+01,3.084152120954604470e+01
2.345276727149309082e+01,1.528489392136972747e+01
3.487715634791887709e+01,4.343156317615105877e+01
4.428488251970996004e+01,1.546652625975294626e+01
3.958404624754476231e+01,2.372480211849792298e+01
4.755500250296841358e+01,4.693737884421282303e+01
2.254342542156578588e+01,3.528265540761355368e+01
