r,g_r
1.250000000000000069e-02,0.000000000000000000e+00
3.750000000000000555e-02,0.000000000000000000e+00
6.250000000000000000e-02,0.000000000000000000e+00
8.750000000000000833e-02,0.000000000000000000e+00
1.125000000000000028e-01,0.000000000000000000e+00
1.375000000000000111e-01,0.000000000000000000e+00
1.625000000000000333e-01,0.000000000000000000e+00
1.875000000000000000e-01,0.000000000000000000e+00
2.125000000000000222e-01,0.000000000000000000e+00
2.374999999999999889e-01,0.000000000000000000e+00
2.625000000000000111e-01,0.000000000000000000e+00
2.875000000000000333e-01,0.000000000000000000e+00
3.125000000000000000e-01,0.000000000000000000e+00
3.375000000000000222e-01,0.000000000000000000e+00
3.625000000000000444e-01,0.000000000000000000e+00
3.875000000000000111e-01,0.000000000000000000e+00
4.125000000000000333e-01,0.000000000000000000e+00
4.375000000000000000e-01,0.000000000000000000e+00
4.625000000000000222e-01,0.000000000000000000e+00
4.875000000000000444e-01,0.000000000000000000e+00
5.124999999999999556e-01,0.000000000000000000e+00
5.375000000000000888e-01,0.000000000000000000e+00
5.625000000000000000e-01,0.000000000000000000e+00
5.875000000000001332e-01,0.000000000000000000e+00
6.125000000000000444e-01,0.000000000000000000e+00
6.374999999999999556e-01,0.000000000000000000e+00
6.625000000000000888e-01,0.000000000000000000e+00
6.875000000000000000e-01,0.000000000000000000e+00
7.125000000000001332e-01,0.000000000000000000e+00
7.375000000000000444e-01,0.000000000000000000e+00
7.624999999999999556e-01,0.000000000000000000e+00
7.875000000000000888e-01,0.000000000000000000e+00
8.125000000000000000e-01,0.000000000000000000e+00
8.375000000000001332e-01,0.000000000000000000e+00
8.625000000000000444e-01,0.000000000000000000e+00
8.874999999999999556e-01,0.000000000000000000e+00
9.125000000000000888e-01,0.000000000000000000e+00
9.375000000000000000e-01,0.000000000000000000e+00
9.625000000000001332e-01,0.000000000000000000e+00
9.875000000000000444e-01,0.000000000000000000e+00
1.012500000000000178e+00,1.066377416232503839e-03
1.037500000000000089e+00,8.737798128688593381e-04
1.062500000000000000e+00,1.020988321989987208e-03
1.087499999999999911e+00,7.680415092839194130e-04
1.112500000000000044e+00,8.606527079917713824e-04
1.137500000000000178e+00,6.671215548678275861e-04
1.162500000000000089e+00,7.316335620499689373e-04
1.187500000000000000e+00,6.090105780291118782e-04
1.212500000000000133e+00,7.266653731601926697e-04
1.237500000000000044e+00,8.231043521520287412e-04
1.262500000000000178e+00,6.010699157720024747e-04
1.287500000000000089e+00,6.803796557497429707e-04
1.312500000000000000e+00,6.868217887028507532e-04
1.337500000000000133e+00,5.635572414827802901e-04
1.362500000000000044e+00,5.382649378109770908e-04
1.387500000000000178e+00,5.505900733989859980e-04
1.412500000000000089e+00,4.579155318410373381e-04
1.437500000000000000e+00,5.916688806143196927e-04
1.462500000000000133e+00,5.397665078535415642e-04
1.487500000000000044e+00,5.409663141328567007e-04
1.512500000000000178e+00,4.175383895462059605e-04
1.537500000000000089e+00,5.333113930467947269e-04
1.562500000000000000e+00,4.074366543152497752e-04
1.587500000000000133e+00,3.849795158884283591e-04
1.612500000000000044e+00,4.390208910838789202e-04
1.637500000000000178e+00,3.701142126985851452e-04
1.662500000000000089e+00,3.553582849666884385e-04
1.687500000000000000e+00,3.500937177819922063e-04
1.712500000000000133e+00,3.658007918304824772e-04
1.737500000000000044e+00,3.986430574595290085e-04
1.762500000000000178e+00,2.918517878428379328e-04
1.787500000000000089e+00,3.191112257574019368e-04
1.812500000000000000e+00,2.922304279226615922e-04
1.837500000000000133e+00,3.326013504614321417e-04
1.862500000000000044e+00,2.953232125238078559e-04
1.887500000000000178e+00,2.131622231185748614e-04
1.912500000000000089e+00,2.742874208788949526e-04
1.937500000000000000e+00,2.707482283514248090e-04
1.962500000000000133e+00,2.595137925574865522e-04
1.987500000000000044e+00,2.434369947166605810e-04
2.012500000000000178e+00,2.328209453230012849e-04
2.037500000000000089e+00,1.799720190840350834e-04
2.062500000000000000e+00,2.444619925891524889e-04
2.087500000000000355e+00,2.171368996051359791e-04
2.112499999999999822e+00,1.856368188300263353e-04
2.137500000000000178e+00,1.929963099388043240e-04
2.162500000000000089e+00,2.402227672841345354e-04
2.187500000000000000e+00,2.235081075100811348e-04
2.212500000000000355e+00,2.002654741549548905e-04
2.237499999999999822e+00,2.071326007971402362e-04
2.262500000000000178e+00,1.778314679055531826e-04
2.287500000000000089e+00,1.825672440101102831e-04
2.312500000000000000e+00,1.938077058364448167e-04
2.337500000000000355e+00,1.786620623200566450e-04
2.362499999999999822e+00,1.746157089922521495e-04
2.387500000000000178e+00,1.770536246500810232e-04
2.412500000000000533e+00,1.498860230900674094e-04
2.437500000000000000e+00,1.107391932241452731e-04
2.462500000000000355e+00,1.220241756578683195e-04
2.487499999999999822e+00,1.371771650207133668e-04
2.512500000000000178e+00,2.961432037886030599e+00
2.537500000000000533e+00,2.876275979751719891e+00
2.562500000000000000e+00,2.788872098853909076e+00
2.587500000000000355e+00,2.713394273814498714e+00
2.612499999999999822e+00,2.638310242763038715e+00
2.637500000000000178e+00,2.560270144376071144e+00
2.662500000000000533e+00,2.484699833017656179e+00
2.687500000000000000e+00,2.418650103050888234e+00
2.712500000000000355e+00,2.351662408294780793e+00
2.737499999999999822e+00,2.286627526084391793e+00
2.762500000000000178e+00,2.220269817745424756e+00
2.787500000000000533e+00,2.160790051730484329e+00
2.812500000000000000e+00,2.104623997428109128e+00
2.837500000000000355e+00,2.048584318396574400e+00
2.862499999999999822e+00,1.993210359299405043e+00
2.887500000000000178e+00,1.942890788720418982e+00
2.912500000000000533e+00,1.892532767363346302e+00
2.937500000000000000e+00,1.842501369279451851e+00
2.962500000000000355e+00,1.795674764945391022e+00
2.987499999999999822e+00,1.749638688494001615e+00
3.012500000000000178e+00,1.702941513313185107e+00
3.037500000000000533e+00,1.658641085836372930e+00
3.062500000000000000e+00,1.616379368985970899e+00
3.087500000000000355e+00,1.580285127060025996e+00
3.112499999999999822e+00,1.543579491894589983e+00
3.137500000000000178e+00,1.507661713790660496e+00
3.162500000000000533e+00,1.472191024079471999e+00
3.187500000000000000e+00,1.438078828326299741e+00
3.212500000000000355e+00,1.403085008931221456e+00
3.237499999999999822e+00,1.371521445951375817e+00
3.262500000000000178e+00,1.341826275938186930e+00
3.287500000000000533e+00,1.313928988558701549e+00
3.312500000000000000e+00,1.284407921553837983e+00
3.337500000000000355e+00,1.256293537071607069e+00
3.362499999999999822e+00,1.230531398483389882e+00
3.387500000000000178e+00,1.201614887127845588e+00
3.412500000000000533e+00,1.176814362322514684e+00
3.437500000000000000e+00,1.152341977491073477e+00
3.462500000000000355e+00,1.131120638682484358e+00
3.487499999999999822e+00,1.106333630416173719e+00
3.512500000000000178e+00,1.087000395042899914e+00
3.537500000000000533e+00,1.064947273228558311e+00
3.562500000000000000e+00,1.044114325575827618e+00
3.587500000000000355e+00,1.024859345993012871e+00
3.612499999999999822e+00,1.006155654031336111e+00
3.637500000000000178e+00,9.903566956818530276e-01
3.662500000000000533e+00,9.719825512170158222e-01
3.687500000000000000e+00,9.558753949888075807e-01
3.712500000000000355e+00,9.384034379608934273e-01
3.737499999999999822e+00,9.239164389034703051e-01
3.762500000000000178e+00,9.102716909765893316e-01
